GeneSymbol_Mouse,GeneSymbol_Human,Source,Daneman_Filter,In_Walchli_EC,In_Yang_EC,In_Winkler_EC,Human_BBB_Datasets_N,HumanEnsembl,MouseEnsembl,Mouse_OrthoType,Mouse_PercId,MacaqueEnsembl,Macaque_OrthoType,Macaque_PercId,Human_Biotype,Mouse_Biotype,Macaque_Biotype,Human_NonCoding,Mouse_NonCoding,Macaque_NonCoding,Any_NonCoding
Acaa2,ACAA2,Daneman,lung_only,TRUE,FALSE,FALSE,1,ENSG00000167315,ENSMUSG00000036880,ortholog_one2one,87.9093,ENSMMUG00000003040,ortholog_one2one,97.733,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Acacb,ACACB,Munji,NA,TRUE,FALSE,TRUE,2,ENSG00000076555,ENSMUSG00000042010,ortholog_one2one,88.4459,ENSMMUG00000022698,ortholog_one2one,98.1286,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Acadl,ACADL,Daneman,lung_only,TRUE,FALSE,FALSE,1,ENSG00000115361,ENSMUSG00000026003,ortholog_one2one,86.2791,NA,NA,NA,protein_coding,protein_coding,NA,FALSE,FALSE,FALSE,FALSE
Acat2,ACAT2,Munji,NA,TRUE,FALSE,FALSE,1,ENSG00000120437,ENSMUSG00000062480,ortholog_one2many,85.8942,ENSMMUG00000030261,ortholog_one2many,90.4282,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Acat2,ACAT2,Munji,NA,TRUE,FALSE,FALSE,1,ENSG00000120437,ENSMUSG00000062480,ortholog_one2many,85.8942,ENSMMUG00000012843,ortholog_one2many,95.7179,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Acat2,ACAT2,Munji,NA,TRUE,FALSE,FALSE,1,ENSG00000120437,ENSMUSG00000023832,ortholog_one2many,87.6574,ENSMMUG00000030261,ortholog_one2many,90.4282,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Acat2,ACAT2,Munji,NA,TRUE,FALSE,FALSE,1,ENSG00000120437,ENSMUSG00000023832,ortholog_one2many,87.6574,ENSMMUG00000012843,ortholog_one2many,95.7179,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Acbd5,ACBD5,Daneman,liver_only,TRUE,FALSE,FALSE,1,ENSG00000107897,ENSMUSG00000026781,ortholog_one2one,80.381,ENSMMUG00000016410,ortholog_one2one,97.5238,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Ace,ACE,Daneman,liver_only,TRUE,FALSE,FALSE,1,ENSG00000159640,ENSMUSG00000020681,ortholog_one2one,83.3078,ENSMMUG00000012608,ortholog_one2one,97.7795,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Ace2,ACE2,Daneman,liver_and_lung,FALSE,FALSE,FALSE,0,ENSG00000130234,ENSMUSG00000015405,ortholog_one2one,82.1118,ENSMMUG00000014048,ortholog_one2one,95.1553,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Acot2,ACOT2,Munji,NA,TRUE,FALSE,FALSE,1,ENSG00000119673,ENSMUSG00000042540,ortholog_many2many,64.3892,NA,NA,NA,protein_coding,protein_coding,NA,FALSE,FALSE,FALSE,FALSE
Acot2,ACOT2,Munji,NA,TRUE,FALSE,FALSE,1,ENSG00000119673,ENSMUSG00000021226,ortholog_many2many,70.1863,NA,NA,NA,protein_coding,protein_coding,NA,FALSE,FALSE,FALSE,FALSE
Acot2,ACOT2,Munji,NA,TRUE,FALSE,FALSE,1,ENSG00000119673,ENSMUSG00000072949,ortholog_many2many,66.4596,NA,NA,NA,protein_coding,protein_coding,NA,FALSE,FALSE,FALSE,FALSE
Acot2,ACOT2,Munji,NA,TRUE,FALSE,FALSE,1,ENSG00000119673,ENSMUSG00000021228,ortholog_many2many,66.4596,NA,NA,NA,protein_coding,protein_coding,NA,FALSE,FALSE,FALSE,FALSE
Acot7,ACOT7,Daneman,lung_only,TRUE,FALSE,FALSE,1,ENSG00000097021,ENSMUSG00000028937,ortholog_one2one,84.8649,ENSMMUG00000004094,ortholog_one2one,80.8108,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Acsl3,ACSL3,Munji,NA,TRUE,FALSE,FALSE,1,ENSG00000123983,ENSMUSG00000032883,ortholog_one2one,92.9167,ENSMMUG00000005393,ortholog_one2one,98.6111,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Acsl6,ACSL6,Daneman,liver_only,TRUE,FALSE,FALSE,1,ENSG00000164398,ENSMUSG00000020333,ortholog_one2one,91.6898,ENSMMUG00000016909,ortholog_one2one,96.2604,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Actl6a,ACTL6A,Daneman,lung_only,TRUE,FALSE,FALSE,1,ENSG00000136518,ENSMUSG00000027671,ortholog_one2one,98.8345,ENSMMUG00000009742,ortholog_one2one,100,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Acvrl1,ACVRL1,Daneman,liver_only,TRUE,FALSE,TRUE,2,ENSG00000139567,ENSMUSG00000000530,ortholog_one2one,88.668,ENSMMUG00000004982,ortholog_one2one,98.6084,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Adamts4,ADAMTS4,Daneman,lung_only,TRUE,FALSE,FALSE,1,ENSG00000158859,ENSMUSG00000006403,ortholog_one2one,90.4421,ENSMMUG00000050419,ortholog_one2one,99.0442,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Adamts9,ADAMTS9,Daneman,lung_only,TRUE,TRUE,FALSE,2,ENSG00000163638,ENSMUSG00000030022,ortholog_one2one,88.9406,ENSMMUG00000000265,ortholog_one2one,99.1214,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Adamtsl2,ADAMTSL2,Daneman,lung_only,TRUE,FALSE,FALSE,1,ENSG00000197859,ENSMUSG00000036040,ortholog_one2one,88.5384,ENSMMUG00000017203,ortholog_one2one,98.0021,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Adcy9,ADCY9,Both,liver_only,TRUE,FALSE,FALSE,1,ENSG00000162104,ENSMUSG00000005580,ortholog_one2one,92.1656,ENSMMUG00000039943,ortholog_one2one,98.7435,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Adh1,ADH1C,Daneman,lung_only,TRUE,FALSE,FALSE,1,ENSG00000248144,ENSMUSG00000074207,ortholog_one2many,85.0667,NA,NA,NA,protein_coding,protein_coding,NA,FALSE,FALSE,FALSE,FALSE
Adipor1,ADIPOR1,Daneman,lung_only,TRUE,FALSE,FALSE,1,ENSG00000159346,ENSMUSG00000026457,ortholog_one2one,96.8,ENSMMUG00000007046,ortholog_one2one,99.2,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Adipor2,ADIPOR2,Daneman,liver_only,TRUE,FALSE,TRUE,2,ENSG00000285070,NA,NA,NA,NA,NA,NA,protein_coding,NA,NA,FALSE,FALSE,FALSE,FALSE
Adk,ADK,Daneman,liver_only,TRUE,FALSE,FALSE,1,ENSG00000156110,ENSMUSG00000039197,ortholog_one2one,91.4365,ENSMMUG00000022237,ortholog_one2one,97.2376,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Adm,ADM,Daneman,lung_only,TRUE,FALSE,FALSE,1,ENSG00000148926,ENSMUSG00000030790,ortholog_one2one,65.9459,ENSMMUG00000016387,ortholog_one2one,82.1622,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Adrbk2,ADRBK2,Daneman,liver_and_lung,FALSE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
Agpat5,AGPAT5,Daneman,lung_only,TRUE,FALSE,FALSE,1,ENSG00000284980,NA,NA,NA,NA,NA,NA,protein_coding,NA,NA,FALSE,FALSE,FALSE,FALSE
Agr2,AGR2,Munji,NA,FALSE,FALSE,FALSE,0,ENSG00000106541,ENSMUSG00000020581,ortholog_one2one,91.4286,ENSMMUG00000017050,ortholog_one2one,98.8571,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Agrn,AGRN,Munji,NA,TRUE,FALSE,TRUE,2,ENSG00000188157,ENSMUSG00000041936,ortholog_one2one,81.6137,ENSMMUG00000000838,ortholog_one2one,96.0391,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Ahnak,AHNAK,Daneman,liver_only,TRUE,FALSE,FALSE,1,ENSG00000124942,ENSMUSG00000069833,ortholog_one2one,78.3362,ENSMMUG00000022301,ortholog_one2one,93.1918,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Akr1b3,AKR1B1,Daneman,liver_and_lung,TRUE,FALSE,FALSE,1,ENSG00000085662,ENSMUSG00000001642,ortholog_one2one,85.443,ENSMMUG00000000917,ortholog_one2one,93.038,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Alas1,ALAS1,Munji,NA,TRUE,FALSE,FALSE,1,ENSG00000023330,ENSMUSG00000032786,ortholog_one2one,91.7188,ENSMMUG00000005596,ortholog_one2one,99.2188,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Alas2,ALAS2,Munji,NA,TRUE,FALSE,FALSE,1,ENSG00000158578,ENSMUSG00000025270,ortholog_one2one,90.1192,ENSMMUG00000008429,ortholog_one2one,98.1261,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Aldh1a1,ALDH1A1,Daneman,liver_only,TRUE,FALSE,FALSE,1,ENSG00000165092,ENSMUSG00000053279,ortholog_one2many,87.0259,ENSMMUG00000013303,ortholog_one2one,95.8084,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Aldh1a1,ALDH1A1,Daneman,liver_only,TRUE,FALSE,FALSE,1,ENSG00000165092,ENSMUSG00000024747,ortholog_one2many,84.4311,ENSMMUG00000013303,ortholog_one2one,95.8084,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Aldh2,ALDH2,Daneman,liver_only,TRUE,FALSE,FALSE,1,ENSG00000111275,ENSMUSG00000029455,ortholog_one2one,94.7776,NA,NA,NA,protein_coding,protein_coding,NA,FALSE,FALSE,FALSE,FALSE
Aldh4a1,ALDH4A1,Munji,NA,TRUE,FALSE,FALSE,1,ENSG00000159423,ENSMUSG00000028737,ortholog_one2one,91.8295,ENSMMUG00000004751,ortholog_one2one,97.6909,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Aldh5a1,ALDH5A1,Munji,NA,TRUE,FALSE,FALSE,1,ENSG00000112294,ENSMUSG00000035936,ortholog_one2one,83.7383,ENSMMUG00000019368,ortholog_one2one,96.4486,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Aldh6a1,ALDH6A1,Daneman,liver_only,TRUE,FALSE,FALSE,1,ENSG00000119711,ENSMUSG00000021238,ortholog_one2one,94.7664,ENSMMUG00000012684,ortholog_one2one,97.757,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Alg6,ALG6,Munji,NA,TRUE,FALSE,FALSE,1,ENSG00000088035,ENSMUSG00000073792,ortholog_one2one,84.4181,ENSMMUG00000020046,ortholog_one2one,97.4359,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Alox12,ALOX12,Daneman,liver_only,FALSE,FALSE,FALSE,0,ENSG00000108839,ENSMUSG00000000320,ortholog_one2one,85.5204,ENSMMUG00000016264,ortholog_one2one,96.0784,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Als2cl,ALS2CL,Daneman,liver_only,TRUE,FALSE,FALSE,1,ENSG00000178038,ENSMUSG00000044037,ortholog_one2one,81.2172,ENSMMUG00000021247,ortholog_one2one,96.957,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Amd1,AMD1,Daneman,liver_only,TRUE,FALSE,FALSE,1,ENSG00000123505,ENSMUSG00000075232,ortholog_one2many,98.2036,ENSMMUG00000000535,ortholog_one2one,99.4012,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Amd1,AMD1,Daneman,liver_only,TRUE,FALSE,FALSE,1,ENSG00000123505,ENSMUSG00000063953,ortholog_one2many,97.9042,ENSMMUG00000000535,ortholog_one2one,99.4012,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Amot,AMOT,Both,liver_only,TRUE,FALSE,FALSE,1,ENSG00000126016,ENSMUSG00000041688,ortholog_one2one,87.2694,ENSMMUG00000007688,ortholog_one2one,97.786,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Ampd3,AMPD3,Daneman,liver_only,TRUE,FALSE,FALSE,1,ENSG00000133805,ENSMUSG00000005686,ortholog_one2one,94.3937,ENSMMUG00000015785,ortholog_one2one,98.5658,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Angpt2,ANGPT2,Daneman,lung_only,TRUE,FALSE,FALSE,1,ENSG00000091879,ENSMUSG00000031465,ortholog_one2one,85.4545,ENSMMUG00000010139,ortholog_one2one,98.9899,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Angptl4,ANGPTL4,Daneman,lung_only,TRUE,FALSE,FALSE,1,ENSG00000167772,ENSMUSG00000002289,ortholog_one2one,75.3695,ENSMMUG00000000698,ortholog_one2one,95.0739,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Ankrd12,ANKRD12,Daneman,liver_only,TRUE,FALSE,FALSE,1,ENSG00000101745,ENSMUSG00000034647,ortholog_one2one,81.3288,ENSMMUG00000049523,ortholog_one2one,97.9146,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Ankrd46,ANKRD46,Daneman,liver_only,TRUE,FALSE,FALSE,1,ENSG00000186106,ENSMUSG00000048307,ortholog_one2one,97.807,ENSMMUG00000009958,ortholog_one2one,93.8596,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Ankrd6,ANKRD6,Both,liver_only,TRUE,FALSE,FALSE,1,ENSG00000135299,ENSMUSG00000040183,ortholog_one2one,83.2187,ENSMMUG00000003462,ortholog_one2one,94.2228,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Anks1,ANKS1A,Daneman,liver_only,TRUE,FALSE,TRUE,2,ENSG00000064999,ENSMUSG00000024219,ortholog_one2one,87.7425,ENSMMUG00000021718,ortholog_one2one,98.1481,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Anln,ANLN,Daneman,lung_only,TRUE,FALSE,FALSE,1,ENSG00000011426,ENSMUSG00000036777,ortholog_one2one,80.1601,ENSMMUG00000021186,ortholog_one2one,97.242,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Antxr2,ANTXR2,Daneman,lung_only,TRUE,FALSE,FALSE,1,ENSG00000163297,ENSMUSG00000029338,ortholog_one2one,82.7869,ENSMMUG00000003333,ortholog_one2one,96.7213,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Anxa6,ANXA6,Daneman,lung_only,TRUE,FALSE,TRUE,2,ENSG00000197043,ENSMUSG00000018340,ortholog_one2one,94.3536,ENSMMUG00000021053,ortholog_one2one,98.9599,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Anxa9,ANXA9,Munji,NA,TRUE,FALSE,FALSE,1,ENSG00000143412,ENSMUSG00000015702,ortholog_one2one,77.6812,ENSMMUG00000023231,ortholog_one2one,94.2029,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Aox1,AOX1,Daneman,liver_only,FALSE,FALSE,FALSE,0,ENSG00000138356,ENSMUSG00000063558,ortholog_one2one,83.0344,ENSMMUG00000021931,ortholog_one2one,95.8147,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Ap1s1,AP1S1,Daneman,lung_only,TRUE,FALSE,FALSE,1,ENSG00000106367,ENSMUSG00000004849,ortholog_one2one,100,ENSMMUG00000010162,ortholog_one2one,100,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Ap2s1,AP2S1,Daneman,lung_only,TRUE,FALSE,FALSE,1,ENSG00000042753,ENSMUSG00000008036,ortholog_one2one,100,ENSMMUG00000000833,ortholog_one2one,93.662,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Ap3m1,AP3M1,Daneman,liver_only,TRUE,FALSE,FALSE,1,ENSG00000185009,ENSMUSG00000021824,ortholog_one2one,99.5215,ENSMMUG00000020825,ortholog_one2one,99.7608,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Apcdd1,APCDD1,Both,lung_only,TRUE,FALSE,TRUE,2,ENSG00000154856,ENSMUSG00000071847,ortholog_one2one,91.8288,ENSMMUG00000056891,ortholog_one2one,99.2218,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Apex1,APEX1,Daneman,lung_only,TRUE,FALSE,FALSE,1,ENSG00000291796,NA,NA,NA,NA,NA,NA,protein_coding,NA,NA,FALSE,FALSE,FALSE,FALSE
Aph1a,APH1A,Both,lung_only,TRUE,FALSE,FALSE,1,ENSG00000117362,ENSMUSG00000015750,ortholog_one2one,99.2453,ENSMMUG00000021386,ortholog_one2one,80.7547,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Apln,APLN,Daneman,lung_only,TRUE,FALSE,FALSE,1,ENSG00000171388,ENSMUSG00000037010,ortholog_one2one,83.1169,NA,NA,NA,protein_coding,protein_coding,NA,FALSE,FALSE,FALSE,FALSE
Apod,APOD,Both,lung_only,TRUE,FALSE,TRUE,2,ENSG00000189058,ENSMUSG00000022548,ortholog_one2one,71.9577,ENSMMUG00000063008,ortholog_one2one,87.3016,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
App,APP,Daneman,liver_only,TRUE,FALSE,TRUE,2,ENSG00000142192,ENSMUSG00000022892,ortholog_one2one,94.8052,ENSMMUG00000014384,ortholog_one2one,97.2727,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Aprt,APRT,Daneman,lung_only,TRUE,FALSE,FALSE,1,ENSG00000198931,ENSMUSG00000006589,ortholog_one2one,82.7778,NA,NA,NA,protein_coding,protein_coding,NA,FALSE,FALSE,FALSE,FALSE
Aqp11,AQP11,Both,liver_only,TRUE,FALSE,FALSE,1,ENSG00000178301,ENSMUSG00000042797,ortholog_one2one,83.0258,ENSMMUG00000018944,ortholog_one2one,97.786,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Arf4,ARF4,Daneman,lung_only,TRUE,FALSE,FALSE,1,ENSG00000168374,ENSMUSG00000021877,ortholog_one2one,94.4444,ENSMMUG00000018617,ortholog_one2many,100,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Arf4,ARF4,Daneman,lung_only,TRUE,FALSE,FALSE,1,ENSG00000168374,ENSMUSG00000021877,ortholog_one2one,94.4444,ENSMMUG00000019688,ortholog_one2many,84.4444,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Arfgap3,ARFGAP3,Daneman,liver_only,TRUE,FALSE,FALSE,1,ENSG00000242247,ENSMUSG00000054277,ortholog_one2one,81.3953,ENSMMUG00000002229,ortholog_one2one,95.7364,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Arhgap12,ARHGAP12,Daneman,liver_only,TRUE,FALSE,FALSE,1,ENSG00000165322,ENSMUSG00000041225,ortholog_one2one,91.0165,ENSMMUG00000004778,ortholog_one2one,98.6998,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Arhgap18,ARHGAP18,Daneman,lung_only,TRUE,FALSE,FALSE,1,ENSG00000146376,ENSMUSG00000039031,ortholog_one2one,84.7662,ENSMMUG00000020365,ortholog_one2one,96.9834,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Arhgap26,ARHGAP26,Daneman,liver_only,TRUE,FALSE,TRUE,2,ENSG00000145819,ENSMUSG00000036452,ortholog_one2one,96.9697,ENSMMUG00000000419,ortholog_one2one,98.8142,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Arhgap6,ARHGAP6,Daneman,liver_only,TRUE,FALSE,TRUE,2,ENSG00000047648,ENSMUSG00000031355,ortholog_one2one,85.9343,ENSMMUG00000003896,ortholog_one2one,97.5359,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Arhgef15,ARHGEF15,Daneman,liver_only,TRUE,FALSE,FALSE,1,ENSG00000198844,ENSMUSG00000052921,ortholog_one2one,85.1367,ENSMMUG00000008749,ortholog_one2one,97.2652,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Arhgef3,ARHGEF3,Daneman,liver_only,TRUE,FALSE,TRUE,2,ENSG00000163947,ENSMUSG00000021895,ortholog_one2one,91.635,ENSMMUG00000010163,ortholog_one2one,94.6768,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Arhgef7,ARHGEF7,Daneman,lung_only,TRUE,FALSE,FALSE,1,ENSG00000102606,ENSMUSG00000031511,ortholog_one2one,84.6868,ENSMMUG00000013138,ortholog_one2one,99.652,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Arhgef9,ARHGEF9,Munji,NA,TRUE,FALSE,FALSE,1,ENSG00000131089,ENSMUSG00000025656,ortholog_one2one,98.6616,ENSMMUG00000016233,ortholog_one2one,99.044,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Arid4a,ARID4A,Daneman,liver_only,TRUE,FALSE,FALSE,1,ENSG00000032219,ENSMUSG00000048118,ortholog_one2one,85.8393,ENSMMUG00000003514,ortholog_one2one,98.9658,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Arid5b,ARID5B,Daneman,liver_only,TRUE,FALSE,TRUE,2,ENSG00000150347,ENSMUSG00000019947,ortholog_one2one,88.0471,ENSMMUG00000000424,ortholog_one2one,98.3165,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Arl4a,ARL4A,Munji,NA,TRUE,FALSE,TRUE,2,ENSG00000122644,ENSMUSG00000047446,ortholog_one2one,99.5,ENSMMUG00000010846,ortholog_one2one,99.5,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Armcx2,ARMCX2,Daneman,lung_only,TRUE,FALSE,FALSE,1,ENSG00000184867,ENSMUSG00000033436,ortholog_one2one,78.7975,ENSMMUG00000015656,ortholog_one2one,98.1013,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Arntl,ARNTL,Daneman,liver_only,TRUE,FALSE,FALSE,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
Art3,ART3,Daneman,liver_and_lung,TRUE,FALSE,FALSE,1,ENSG00000156219,ENSMUSG00000034842,ortholog_one2one,52.9563,ENSMMUG00000020907,ortholog_one2one,93.0591,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Asb13,ASB13,Daneman,liver_only,TRUE,FALSE,FALSE,1,ENSG00000196372,ENSMUSG00000033781,ortholog_one2one,97.8417,ENSMMUG00000001290,ortholog_one2one,98.9209,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
