GeneSymbol_Mouse,GeneSymbol_Human,Source,Daneman_Filter,HumanEnsembl,MouseEnsembl,MacaqueEnsembl
Acat2,ACAT2,Munji,NA,ENSG00000120437,ENSMUSG00000023832,ENSMMUG00000012843
Acbd5,ACBD5,Daneman,liver_only,ENSG00000107897,ENSMUSG00000026781,ENSMMUG00000016410
Ace,ACE,Daneman,liver_only,ENSG00000159640,ENSMUSG00000020681,ENSMMUG00000012608
Ace2,ACE2,Daneman,liver_and_lung,ENSG00000130234,ENSMUSG00000015405,ENSMMUG00000014048
Acot2,ACOT2,Munji,NA,ENSG00000119673,ENSMUSG00000042540,NA
Acot2,ACOT2,Munji,NA,ENSG00000119673,ENSMUSG00000021226,NA
Acot2,ACOT2,Munji,NA,ENSG00000119673,ENSMUSG00000072949,NA
Acot2,ACOT2,Munji,NA,ENSG00000119673,ENSMUSG00000021228,NA
Acot7,ACOT7,Daneman,lung_only,ENSG00000097021,ENSMUSG00000028937,ENSMMUG00000004094
Acsl3,ACSL3,Munji,NA,ENSG00000123983,ENSMUSG00000032883,ENSMMUG00000005393
Acsl6,ACSL6,Daneman,liver_only,ENSG00000164398,ENSMUSG00000020333,ENSMMUG00000016909
Actl6a,ACTL6A,Daneman,lung_only,ENSG00000136518,ENSMUSG00000027671,ENSMMUG00000009742
Acvrl1,ACVRL1,Daneman,liver_only,ENSG00000139567,ENSMUSG00000000530,ENSMMUG00000004982
Adamts4,ADAMTS4,Daneman,lung_only,ENSG00000158859,ENSMUSG00000006403,ENSMMUG00000050419
Adamts9,ADAMTS9,Daneman,lung_only,ENSG00000163638,ENSMUSG00000030022,ENSMMUG00000000265
Adamtsl2,ADAMTSL2,Daneman,lung_only,ENSG00000197859,ENSMUSG00000036040,ENSMMUG00000017203
Adcy9,ADCY9,Both,liver_only,ENSG00000162104,ENSMUSG00000005580,ENSMMUG00000039943
Adh1,ADH1C,Daneman,lung_only,ENSG00000248144,ENSMUSG00000074207,NA
Adipor1,ADIPOR1,Daneman,lung_only,ENSG00000159346,ENSMUSG00000026457,ENSMMUG00000007046
Adipor2,ADIPOR2,Daneman,liver_only,ENSG00000285070,NA,NA
Adipor2,ADIPOR2,Daneman,liver_only,ENSG00000006831,ENSMUSG00000030168,ENSMMUG00000017262
Adk,ADK,Daneman,liver_only,ENSG00000156110,ENSMUSG00000039197,ENSMMUG00000022237
Adm,ADM,Daneman,lung_only,ENSG00000148926,ENSMUSG00000030790,ENSMMUG00000016387
Adrbk2,ADRBK2,Daneman,liver_and_lung,NA,NA,NA
Agpat5,AGPAT5,Daneman,lung_only,ENSG00000284980,NA,NA
Agpat5,AGPAT5,Daneman,lung_only,ENSG00000155189,ENSMUSG00000031467,ENSMMUG00000054376
Agr2,AGR2,Munji,NA,ENSG00000106541,ENSMUSG00000020581,ENSMMUG00000017050
Agrn,AGRN,Munji,NA,ENSG00000188157,ENSMUSG00000041936,ENSMMUG00000000838
Ahnak,AHNAK,Daneman,liver_only,ENSG00000124942,ENSMUSG00000069833,ENSMMUG00000022301
Akr1b3,AKR1B1,Daneman,liver_and_lung,ENSG00000085662,ENSMUSG00000001642,ENSMMUG00000000917
Alas1,ALAS1,Munji,NA,ENSG00000023330,ENSMUSG00000032786,ENSMMUG00000005596
Alas2,ALAS2,Munji,NA,ENSG00000158578,ENSMUSG00000025270,ENSMMUG00000008429
Aldh1a1,ALDH1A1,Daneman,liver_only,ENSG00000165092,ENSMUSG00000053279,ENSMMUG00000013303
Aldh1a1,ALDH1A1,Daneman,liver_only,ENSG00000165092,ENSMUSG00000024747,ENSMMUG00000013303
Aldh2,ALDH2,Daneman,liver_only,ENSG00000111275,ENSMUSG00000029455,NA
Aldh4a1,ALDH4A1,Munji,NA,ENSG00000159423,ENSMUSG00000028737,ENSMMUG00000004751
Aldh5a1,ALDH5A1,Munji,NA,ENSG00000112294,ENSMUSG00000035936,ENSMMUG00000019368
Aldh6a1,ALDH6A1,Daneman,liver_only,ENSG00000119711,ENSMUSG00000021238,ENSMMUG00000012684
Alg6,ALG6,Munji,NA,ENSG00000088035,ENSMUSG00000073792,ENSMMUG00000020046
Alox12,ALOX12,Daneman,liver_only,ENSG00000108839,ENSMUSG00000000320,ENSMMUG00000016264
Als2cl,ALS2CL,Daneman,liver_only,ENSG00000178038,ENSMUSG00000044037,ENSMMUG00000021247
Amd1,AMD1,Daneman,liver_only,ENSG00000123505,ENSMUSG00000075232,ENSMMUG00000000535
Amd1,AMD1,Daneman,liver_only,ENSG00000123505,ENSMUSG00000063953,ENSMMUG00000000535
Amot,AMOT,Both,liver_only,ENSG00000126016,ENSMUSG00000041688,ENSMMUG00000007688
Ampd3,AMPD3,Daneman,liver_only,ENSG00000133805,ENSMUSG00000005686,ENSMMUG00000015785
Angpt2,ANGPT2,Daneman,lung_only,ENSG00000091879,ENSMUSG00000031465,ENSMMUG00000010139
Angptl4,ANGPTL4,Daneman,lung_only,ENSG00000167772,ENSMUSG00000002289,ENSMMUG00000000698
Ankrd12,ANKRD12,Daneman,liver_only,ENSG00000101745,ENSMUSG00000034647,ENSMMUG00000049523
Ankrd46,ANKRD46,Daneman,liver_only,ENSG00000186106,ENSMUSG00000048307,ENSMMUG00000009958
Ankrd6,ANKRD6,Both,liver_only,ENSG00000135299,ENSMUSG00000040183,ENSMMUG00000003462
Anks1,ANKS1A,Daneman,liver_only,ENSG00000064999,ENSMUSG00000024219,ENSMMUG00000021718
Anln,ANLN,Daneman,lung_only,ENSG00000011426,ENSMUSG00000036777,ENSMMUG00000021186
Antxr2,ANTXR2,Daneman,lung_only,ENSG00000163297,ENSMUSG00000029338,ENSMMUG00000003333
Anxa6,ANXA6,Daneman,lung_only,ENSG00000197043,ENSMUSG00000018340,ENSMMUG00000021053
Anxa9,ANXA9,Munji,NA,ENSG00000143412,ENSMUSG00000015702,ENSMMUG00000023231
Aox1,AOX1,Daneman,liver_only,ENSG00000138356,ENSMUSG00000063558,ENSMMUG00000021931
Ap1s1,AP1S1,Daneman,lung_only,ENSG00000106367,ENSMUSG00000004849,ENSMMUG00000010162
Ap2s1,AP2S1,Daneman,lung_only,ENSG00000042753,ENSMUSG00000008036,ENSMMUG00000000833
Ap3m1,AP3M1,Daneman,liver_only,ENSG00000185009,ENSMUSG00000021824,ENSMMUG00000020825
Apcdd1,APCDD1,Both,lung_only,ENSG00000154856,ENSMUSG00000071847,ENSMMUG00000056891
Apex1,APEX1,Daneman,lung_only,ENSG00000291796,NA,NA
Apex1,APEX1,Daneman,lung_only,ENSG00000100823,ENSMUSG00000035960,ENSMMUG00000048039
Aph1a,APH1A,Both,lung_only,ENSG00000117362,ENSMUSG00000015750,ENSMMUG00000021386
Apln,APLN,Daneman,lung_only,ENSG00000171388,ENSMUSG00000037010,NA
Apod,APOD,Both,lung_only,ENSG00000189058,ENSMUSG00000022548,ENSMMUG00000063008
App,APP,Daneman,liver_only,ENSG00000142192,ENSMUSG00000022892,ENSMMUG00000014384
Aprt,APRT,Daneman,lung_only,ENSG00000198931,ENSMUSG00000006589,NA
Aqp11,AQP11,Both,liver_only,ENSG00000178301,ENSMUSG00000042797,ENSMMUG00000018944
Arf4,ARF4,Daneman,lung_only,ENSG00000168374,ENSMUSG00000021877,ENSMMUG00000018617
Arf4,ARF4,Daneman,lung_only,ENSG00000168374,ENSMUSG00000021877,ENSMMUG00000019688
Arfgap3,ARFGAP3,Daneman,liver_only,ENSG00000242247,ENSMUSG00000054277,ENSMMUG00000002229
Arhgap12,ARHGAP12,Daneman,liver_only,ENSG00000165322,ENSMUSG00000041225,ENSMMUG00000004778
Arhgap18,ARHGAP18,Daneman,lung_only,ENSG00000146376,ENSMUSG00000039031,ENSMMUG00000020365
Arhgap26,ARHGAP26,Daneman,liver_only,ENSG00000145819,ENSMUSG00000036452,ENSMMUG00000000419
Arhgap6,ARHGAP6,Daneman,liver_only,ENSG00000047648,ENSMUSG00000031355,ENSMMUG00000003896
Arhgef15,ARHGEF15,Daneman,liver_only,ENSG00000198844,ENSMUSG00000052921,ENSMMUG00000008749
Arhgef3,ARHGEF3,Daneman,liver_only,ENSG00000163947,ENSMUSG00000021895,ENSMMUG00000010163
Arhgef7,ARHGEF7,Daneman,lung_only,ENSG00000102606,ENSMUSG00000031511,ENSMMUG00000013138
Arhgef9,ARHGEF9,Munji,NA,ENSG00000131089,ENSMUSG00000025656,ENSMMUG00000016233
Arid4a,ARID4A,Daneman,liver_only,ENSG00000032219,ENSMUSG00000048118,ENSMMUG00000003514
Arid5b,ARID5B,Daneman,liver_only,ENSG00000150347,ENSMUSG00000019947,ENSMMUG00000000424
Arl4a,ARL4A,Munji,NA,ENSG00000122644,ENSMUSG00000047446,ENSMMUG00000010846
Armcx2,ARMCX2,Daneman,lung_only,ENSG00000184867,ENSMUSG00000033436,ENSMMUG00000015656
Arntl,ARNTL,Daneman,liver_only,NA,NA,NA
Art3,ART3,Daneman,liver_and_lung,ENSG00000156219,ENSMUSG00000034842,ENSMMUG00000020907
Asb13,ASB13,Daneman,liver_only,ENSG00000196372,ENSMUSG00000033781,ENSMMUG00000001290
Ash1l,ASH1L,Daneman,liver_only,ENSG00000116539,ENSMUSG00000028053,ENSMMUG00000023146
Aspn,ASPN,Daneman,liver_and_lung,ENSG00000292224,NA,NA
Aspn,ASPN,Daneman,liver_and_lung,ENSG00000106819,ENSMUSG00000021388,ENSMMUG00000004638
Atf2,ATF2,Daneman,liver_only,ENSG00000115966,ENSMUSG00000027104,ENSMMUG00000003947
Atf4,ATF4,Daneman,liver_only,ENSG00000128272,ENSMUSG00000042406,ENSMMUG00000055780
Atf7ip,ATF7IP,Daneman,liver_only,ENSG00000171681,ENSMUSG00000030213,ENSMMUG00000003664
Atp10a,ATP10A,Both,liver_only,ENSG00000206190,ENSMUSG00000025324,ENSMMUG00000054546
Atp11a,ATP11A,Daneman,liver_only,ENSG00000068650,ENSMUSG00000031441,ENSMMUG00000013625
Atp13a2,ATP13A2,Daneman,lung_only,ENSG00000159363,ENSMUSG00000036622,ENSMMUG00000001610
Atp13a5,ATP13A5,Daneman,liver_and_lung,ENSG00000187527,ENSMUSG00000048939,ENSMMUG00000009760
Atp1a2,ATP1A2,Daneman,liver_and_lung,ENSG00000018625,ENSMUSG00000007097,NA
Atp1b1,ATP1B1,Daneman,lung_only,ENSG00000143153,ENSMUSG00000026576,ENSMMUG00000021078
Atp1b2,ATP1B2,Daneman,liver_and_lung,ENSG00000129244,ENSMUSG00000041329,ENSMMUG00000044486
Atp2a3,ATP2A3,Daneman,liver_and_lung,ENSG00000074370,ENSMUSG00000020788,ENSMMUG00000008263
Atp2c1,ATP2C1,Daneman,liver_only,ENSG00000017260,ENSMUSG00000032570,ENSMMUG00000005137
Atp5a1,ATP5A1,Daneman,lung_only,NA,NA,NA
Atp5d,ATP5D,Daneman,lung_only,NA,NA,NA
Atp5f1,ATP5F1,Daneman,lung_only,NA,NA,NA
Atp5g1,ATP5G1,Daneman,lung_only,NA,NA,NA
Atp5g2,ATP5G2,Daneman,lung_only,NA,NA,NA
Atp5o,ATP5O,Daneman,lung_only,NA,NA,NA
Atp6v0d1,ATP6V0D1,Daneman,lung_only,ENSG00000159720,ENSMUSG00000013160,ENSMMUG00000029105
Atp8a1,ATP8A1,Daneman,liver_only,ENSG00000124406,ENSMUSG00000037685,ENSMMUG00000017733
Atp9a,ATP9A,Daneman,lung_only,ENSG00000054793,ENSMUSG00000027546,ENSMMUG00000000918
Atpif1,ATPIF1,Daneman,lung_only,NA,NA,NA
Axin2,AXIN2,Both,liver_only,ENSG00000168646,ENSMUSG00000000142,ENSMMUG00000060015
B2m,B2M,Daneman,liver_only,ENSG00000273686,NA,NA
B2m,B2M,Daneman,liver_only,ENSG00000166710,ENSMUSG00000060802,ENSMMUG00000060797
B3gnt1,B3GNT1,Daneman,liver_only,NA,NA,NA
B4galt4,B4GALT4,Munji,NA,ENSG00000121578,ENSMUSG00000022793,ENSMMUG00000062606
B4galt4,B4GALT4,Munji,NA,ENSG00000121578,ENSMUSG00000022793,ENSMMUG00000003592
Baiap2l1,BAIAP2L1,Munji,NA,ENSG00000006453,ENSMUSG00000038859,ENSMMUG00000013276
Bambi,BAMBI,Daneman,lung_only,ENSG00000095739,ENSMUSG00000024232,ENSMMUG00000058108
Banf1,BANF1,Daneman,lung_only,ENSG00000175334,ENSMUSG00000024844,NA
Basp1,BASP1,Daneman,lung_only,ENSG00000176788,ENSMUSG00000045763,ENSMMUG00000061751
Baz1a,BAZ1A,Daneman,lung_only,ENSG00000198604,ENSMUSG00000035021,ENSMMUG00000058073
Bche,BCHE,Both,liver_only,ENSG00000114200,ENSMUSG00000027792,ENSMMUG00000003742
Bcl10,BCL10,Daneman,lung_only,ENSG00000142867,ENSMUSG00000028191,ENSMMUG00000005720
Bcl2l1,BCL2L1,Daneman,liver_only,ENSG00000171552,ENSMUSG00000007659,ENSMMUG00000005985
Bcl6,BCL6,Daneman,liver_only,ENSG00000113916,ENSMUSG00000022508,ENSMMUG00000009198
Bcl6b,BCL6B,Daneman,lung_only,ENSG00000161940,ENSMUSG00000000317,ENSMMUG00000016268
Bcr,BCR,Daneman,lung_only,ENSG00000186716,ENSMUSG00000009681,ENSMMUG00000023622
Bend5,BEND5,Munji,NA,ENSG00000162373,ENSMUSG00000028545,NA
Bgn,BGN,Daneman,liver_and_lung,ENSG00000182492,ENSMUSG00000031375,ENSMMUG00000012743
Bin1,BIN1,Daneman,lung_only,ENSG00000136717,ENSMUSG00000024381,ENSMMUG00000000376
Bmp1,BMP1,Daneman,lung_only,ENSG00000168487,ENSMUSG00000022098,ENSMMUG00000013031
Bmp2,BMP2,Daneman,lung_only,ENSG00000125845,ENSMUSG00000027358,ENSMMUG00000064170
Bmp2k,BMP2K,Daneman,lung_only,ENSG00000138756,ENSMUSG00000034663,ENSMMUG00000011639
Bmpr1a,BMPR1A,Daneman,liver_and_lung,ENSG00000107779,ENSMUSG00000021796,ENSMMUG00000011852
Bmpr2,BMPR2,Daneman,liver_only,ENSG00000204217,ENSMUSG00000067336,ENSMMUG00000009009
Bnip1,BNIP1,Munji,NA,ENSG00000113734,ENSMUSG00000024191,ENSMMUG00000014607
Bnip3,BNIP3,Daneman,liver_only,ENSG00000176171,ENSMUSG00000078566,ENSMMUG00000058508
Bnip3,BNIP3,Daneman,liver_only,ENSG00000176171,ENSMUSG00000078566,ENSMMUG00000022445
Bop1,BOP1,Daneman,lung_only,ENSG00000261236,ENSMUSG00000022557,ENSMMUG00000014724
Bpgm,BPGM,Daneman,lung_only,ENSG00000172331,ENSMUSG00000038871,ENSMMUG00000004598
Bsg,BSG,Munji,NA,ENSG00000172270,ENSMUSG00000023175,ENSMMUG00000018740
Bspry,BSPRY,Munji,NA,ENSG00000119411,ENSMUSG00000028392,ENSMMUG00000005851
Btbd11,BTBD11,Daneman,lung_only,NA,NA,NA
Btf3,BTF3,Daneman,lung_only,ENSG00000145741,ENSMUSG00000021660,ENSMMUG00000002246
Btf3l4,BTF3L4,Daneman,lung_only,ENSG00000134717,ENSMUSG00000114133,ENSMMUG00000003636
Btg2,BTG2,Daneman,liver_only,ENSG00000159388,ENSMUSG00000020423,ENSMMUG00000053426
Bzw1,BZW1,Daneman,lung_only,ENSG00000082153,ENSMUSG00000051223,ENSMMUG00000022202
8430408G22Rik,C10ORF10,Daneman,liver_only,NA,NA,NA
2700094K13Rik,C11ORF31,Daneman,lung_only,NA,NA,NA
AI462493,C11ORF83,Daneman,lung_only,NA,NA,NA
Grcc10,C12ORF57,Daneman,lung_only,NA,NA,NA
2010107E04Rik,C14ORF2,Daneman,lung_only,NA,NA,NA
BC030336,C16ORF52,Daneman,liver_only,NA,NA,NA
AI467606,C16ORF54,Daneman,liver_and_lung,NA,NA,NA
AU021092,C16ORF89,Daneman,lung_only,NA,NA,NA
0610010K14Rik,C17ORF49,Daneman,lung_only,NA,NA,NA
2410015M20Rik,C19ORF70,Daneman,lung_only,NA,NA,NA
C130074G19Rik,C1ORF115,Munji,NA,NA,NA,NA
2810004N23Rik,C1ORF131,Munji,NA,NA,NA,NA
2310022B05Rik,C1ORF198,Munji,NA,NA,NA,NA
Gm694,C1ORF64,Munji,NA,NA,NA,NA
A130010J15Rik,C1ORF74,Munji,NA,NA,NA,NA
C1qbp,C1QBP,Daneman,lung_only,ENSG00000108561,ENSMUSG00000018446,ENSMMUG00000006592
3010026O09Rik,C5ORF45,Daneman,liver_only,NA,NA,NA
3110082I17Rik,C7ORF50,Daneman,lung_only,NA,NA,NA
1810011O10Rik,C8ORF4,Daneman,liver_only,NA,NA,NA
Car2,CA2,Daneman,lung_only,ENSG00000104267,ENSMUSG00000027562,ENSMMUG00000014891
Cab39l,CAB39L,Daneman,liver_only,ENSG00000102547,ENSMUSG00000021981,ENSMMUG00000013472
Cables1,CABLES1,Daneman,liver_only,ENSG00000134508,ENSMUSG00000040957,ENSMMUG00000005125
Cabyr,CABYR,Munji,NA,ENSG00000154040,ENSMUSG00000024430,ENSMMUG00000004346
Cachd1,CACHD1,Both,lung_only,ENSG00000158966,ENSMUSG00000028532,ENSMMUG00000007577
Capn2,CAPN2,Daneman,liver_only,ENSG00000162909,ENSMUSG00000026509,ENSMMUG00000011142
Capzb,CAPZB,Daneman,lung_only,ENSG00000077549,ENSMUSG00000028745,ENSMMUG00000006894
Card10,CARD10,Daneman,liver_only,ENSG00000100065,ENSMUSG00000033170,ENSMMUG00000003007
Caskin2,CASKIN2,Daneman,liver_only,ENSG00000177303,ENSMUSG00000034471,ENSMMUG00000022121
Casp3,CASP3,Daneman,lung_only,ENSG00000164305,ENSMUSG00000031628,ENSMMUG00000012053
Casp6,CASP6,Daneman,lung_only,ENSG00000138794,ENSMUSG00000027997,ENSMMUG00000008174
Casp7,CASP7,Daneman,lung_only,ENSG00000165806,ENSMUSG00000025076,ENSMMUG00000001217
Casp8,CASP8,Daneman,lung_only,ENSG00000064012,ENSMUSG00000026029,ENSMMUG00000031296
Casp8ap2,CASP8AP2,Daneman,liver_only,ENSG00000288475,NA,NA
Casp8ap2,CASP8AP2,Daneman,liver_only,ENSG00000118412,ENSMUSG00000028282,ENSMMUG00000009182
Casq2,CASQ2,Daneman,liver_and_lung,ENSG00000118729,ENSMUSG00000027861,ENSMMUG00000008970
Cast,CAST,Daneman,liver_only,ENSG00000153113,NA,NA
Cat,CAT,Daneman,lung_only,ENSG00000121691,ENSMUSG00000027187,ENSMMUG00000002429
Cav2,CAV2,Daneman,liver_only,ENSG00000105971,ENSMUSG00000000058,ENSMMUG00000061706
Cbr3,CBR3,Daneman,liver_only,ENSG00000159231,ENSMUSG00000022947,ENSMMUG00000020565
Ccdc106,CCDC106,Munji,NA,ENSG00000173581,ENSMUSG00000035228,ENSMMUG00000004808
Ccdc141,CCDC141,Munji,NA,ENSG00000163492,ENSMUSG00000044033,ENSMMUG00000019689
Ccdc23,CCDC23,Daneman,lung_only,NA,NA,NA
Ccdc28a,CCDC28A,Daneman,liver_only,ENSG00000024862,ENSMUSG00000059554,ENSMMUG00000017643
Ccdc28b,CCDC28B,Daneman,lung_only,ENSG00000160050,ENSMUSG00000028795,ENSMMUG00000015066
Ccdc61,CCDC61,Munji,NA,ENSG00000104983,ENSMUSG00000074358,ENSMMUG00000008741
Ccdc85c,CCDC85C,Munji,NA,ENSG00000205476,ENSMUSG00000084883,ENSMMUG00000046816
Ccdc92,CCDC92,Munji,NA,ENSG00000275035,NA,NA
Ccdc92,CCDC92,Munji,NA,ENSG00000119242,ENSMUSG00000037979,ENSMMUG00000009212
Ccnd1,CCND1,Daneman,lung_only,ENSG00000110092,ENSMUSG00000070348,ENSMMUG00000002368
Ccnd2,CCND2,Daneman,lung_only,ENSG00000118971,ENSMUSG00000000184,NA
Ccng2,CCNG2,Munji,NA,ENSG00000138764,ENSMUSG00000029385,ENSMMUG00000000914
Cct2,CCT2,Daneman,lung_only,ENSG00000166226,ENSMUSG00000034024,ENSMMUG00000010820
Cd1d1,CD1D,Daneman,lung_only,ENSG00000158473,ENSMUSG00000041750,ENSMMUG00000020156
Cd1d1,CD1D,Daneman,lung_only,ENSG00000158473,ENSMUSG00000028076,ENSMMUG00000020156
Cd200,CD200,Daneman,liver_only,ENSG00000091972,ENSMUSG00000022661,ENSMMUG00000016076
Cd248,CD248,Daneman,liver_and_lung,ENSG00000174807,ENSMUSG00000056481,ENSMMUG00000015986
Cd2ap,CD2AP,Daneman,liver_only,ENSG00000198087,ENSMUSG00000061665,ENSMMUG00000017952
Cd302,CD302,Daneman,liver_and_lung,ENSG00000241399,ENSMUSG00000060703,ENSMMUG00000020721
Cd320,CD320,Both,lung_only,ENSG00000167775,ENSMUSG00000002308,ENSMMUG00000016695
Cd38,CD38,Daneman,lung_only,ENSG00000004468,ENSMUSG00000029084,ENSMMUG00000015298
Cd3eap,CD3EAP,Munji,NA,NA,NA,NA
Cd40,CD40,Daneman,lung_only,ENSG00000101017,ENSMUSG00000017652,ENSMMUG00000003683
Cd47,CD47,Daneman,liver_only,ENSG00000196776,ENSMUSG00000055447,ENSMMUG00000008791
Cd82,CD82,Daneman,lung_only,ENSG00000085117,ENSMUSG00000027215,ENSMMUG00000019268
Cdc14a,CDC14A,Daneman,liver_only,ENSG00000079335,ENSMUSG00000033502,ENSMMUG00000019106
Cdc20,CDC20,Daneman,lung_only,ENSG00000117399,ENSMUSG00000006398,ENSMMUG00000003149
Cdc23,CDC23,Daneman,liver_and_lung,ENSG00000094880,ENSMUSG00000024370,ENSMMUG00000001515
Cdc37l1,CDC37L1,Daneman,liver_only,ENSG00000106993,ENSMUSG00000024780,ENSMMUG00000000141
Cdc42ep3,CDC42EP3,Munji,NA,ENSG00000163171,ENSMUSG00000036533,ENSMMUG00000052788
Cdc42se1,CDC42SE1,Munji,NA,ENSG00000197622,ENSMUSG00000046722,ENSMMUG00000010074
Cdca4,CDCA4,Daneman,lung_only,ENSG00000170779,ENSMUSG00000047832,ENSMMUG00000007516
Cdca8,CDCA8,Daneman,lung_only,ENSG00000134690,ENSMUSG00000028873,ENSMMUG00000014340
Cdh11,CDH11,Daneman,liver_and_lung,ENSG00000140937,ENSMUSG00000031673,ENSMMUG00000005520
Cdh2,CDH2,Both,lung_only,ENSG00000170558,ENSMUSG00000024304,ENSMMUG00000015178
Cdipt,CDIPT,Daneman,lung_only,ENSG00000103502,ENSMUSG00000030682,ENSMMUG00000018985
Cdk4,CDK4,Daneman,lung_only,ENSG00000135446,ENSMUSG00000006728,ENSMMUG00000023694
Cdk5rap3,CDK5RAP3,Daneman,lung_only,ENSG00000108465,ENSMUSG00000018669,ENSMMUG00000004760
Cdr2,CDR2,Daneman,lung_only,ENSG00000140743,ENSMUSG00000030878,ENSMMUG00000022035
Cds2,CDS2,Daneman,liver_only,ENSG00000101290,ENSMUSG00000058793,ENSMMUG00000013261
Cdv3,CDV3,Daneman,lung_only,ENSG00000091527,ENSMUSG00000032803,ENSMMUG00000000058
Ceacam2,CEACAM1,Both,liver_only,ENSG00000079385,NA,NA
Cebpg,CEBPG,Daneman,liver_only,ENSG00000153879,ENSMUSG00000056216,ENSMMUG00000062413
Cenpa,CENPA,Daneman,lung_only,ENSG00000115163,ENSMUSG00000029177,ENSMMUG00000015934
Cep164,CEP164,Munji,NA,ENSG00000110274,ENSMUSG00000043987,ENSMMUG00000007791
Cep97,CEP97,Munji,NA,ENSG00000182504,ENSMUSG00000022604,ENSMMUG00000015062
Cept1,CEPT1,Daneman,liver_only,ENSG00000134255,ENSMUSG00000040774,ENSMMUG00000002461
Cerk,CERK,Daneman,lung_only,ENSG00000100422,ENSMUSG00000035891,ENSMMUG00000020950
Cfh,CFH,Daneman,liver_only,ENSG00000000971,NA,ENSMMUG00000045497
Cflar,CFLAR,Daneman,liver_only,ENSG00000003402,ENSMUSG00000026031,ENSMMUG00000012310
Cggbp1,CGGBP1,Daneman,lung_only,ENSG00000163320,ENSMUSG00000054604,ENSMMUG00000047994
Ch25h,CH25H,Daneman,liver_only,ENSG00000138135,ENSMUSG00000050370,ENSMMUG00000055047
Chd6,CHD6,Daneman,liver_only,ENSG00000124177,ENSMUSG00000057133,ENSMMUG00000020458
Chmp6,CHMP6,Daneman,lung_only,ENSG00000176108,ENSMUSG00000025371,ENSMMUG00000060324
Chn2,CHN2,Daneman,liver_only,ENSG00000106069,ENSMUSG00000004633,ENSMMUG00000008329
Chst1,CHST1,Daneman,lung_only,ENSG00000175264,ENSMUSG00000027221,ENSMMUG00000000874
Chst7,CHST7,Daneman,lung_only,ENSG00000147119,ENSMUSG00000037347,ENSMMUG00000019663
Ckap4,CKAP4,Daneman,lung_only,ENSG00000136026,ENSMUSG00000046841,ENSMMUG00000055446
Cklf,CKLF,Daneman,lung_only,ENSG00000217555,ENSMUSG00000054400,NA
Cks1b,CKS1B,Daneman,lung_only,ENSG00000173207,ENSMUSG00000062687,ENSMMUG00000056894
Cks1b,CKS1B,Daneman,lung_only,ENSG00000173207,ENSMUSG00000028044,ENSMMUG00000056894
Cks2,CKS2,Daneman,lung_only,ENSG00000123975,ENSMUSG00000062248,ENSMMUG00000064761
Clcc1,CLCC1,Daneman,liver_only,ENSG00000121940,ENSMUSG00000027884,ENSMMUG00000000390
Cldn6,CLDN6,Munji,NA,ENSG00000184697,ENSMUSG00000023906,ENSMMUG00000041201
Clec14a,CLEC14A,Daneman,lung_only,ENSG00000176435,ENSMUSG00000045930,ENSMMUG00000051249
Clec1a,CLEC1A,Daneman,lung_only,ENSG00000150048,ENSMUSG00000033082,ENSMMUG00000005832
Clic4,CLIC4,Daneman,liver_only,ENSG00000169504,ENSMUSG00000037242,ENSMMUG00000002416
