gene_id,canonical_tx
ENSMUSG00000095450,ENSMUST00000179292
ENSMUSG00000144201,ENSMUST00000381725
ENSMUSG00000079190,ENSMUST00000111360
ENSMUSG00000094728,ENSMUST00000180119
ENSMUSG00000094799,ENSMUST00000115928
ENSMUSG00000079808,ENSMUST00000115924
ENSMUSG00000094474,ENSMUST00000177582
ENSMUSG00000095570,ENSMUST00000179972
ENSMUSG00000144196,ENSMUST00000381699
ENSMUSG00000062783,ENSMUST00000078827
ENSMUSG00000094791,ENSMUST00000179677
ENSMUSG00000094514,ENSMUST00000178645
ENSMUSG00000096728,ENSMUST00000178296
ENSMUSG00000096808,ENSMUST00000177921
ENSMUSG00000144203,ENSMUST00000381729
ENSMUSG00000144204,ENSMUST00000381735
ENSMUSG00000096550,ENSMUST00000178337
ENSMUSG00000144199,ENSMUST00000381715
ENSMUSG00000094172,ENSMUST00000177843
ENSMUSG00000094887,ENSMUST00000179700
ENSMUSG00000091585,ENSMUST00000165454
ENSMUSG00000095763,ENSMUST00000178318
ENSMUSG00000095523,ENSMUST00000180303
ENSMUSG00000095475,ENSMUST00000180208
ENSMUSG00000094855,ENSMUST00000178327
ENSMUSG00000100384,ENSMUST00000186655
ENSMUSG00000100216,ENSMUST00000189917
ENSMUSG00000099641,ENSMUST00000186675
ENSMUSG00000095634,ENSMUST00000187846
ENSMUSG00000101393,ENSMUST00000186407
ENSMUSG00000100885,ENSMUST00000190887
ENSMUSG00000101120,ENSMUST00000187996
ENSMUSG00000101216,ENSMUST00000188862
ENSMUSG00000100032,ENSMUST00000191123
ENSMUSG00000101080,ENSMUST00000190867
ENSMUSG00000094444,ENSMUST00000190314
ENSMUSG00000100308,ENSMUST00000188383
ENSMUSG00000101423,ENSMUST00000185287
ENSMUSG00000095626,ENSMUST00000186850
ENSMUSG00000101761,ENSMUST00000186679
ENSMUSG00000099493,ENSMUST00000187240
ENSMUSG00000096777,ENSMUST00000189444
ENSMUSG00000102119,ENSMUST00000185217
ENSMUSG00000100739,ENSMUST00000186151
ENSMUSG00000095345,ENSMUST00000187288
ENSMUSG00000100709,ENSMUST00000188322
ENSMUSG00000100976,ENSMUST00000186579
ENSMUSG00000100489,ENSMUST00000185642
ENSMUSG00000101239,ENSMUST00000185977
ENSMUSG00000100971,ENSMUST00000187496
ENSMUSG00000100509,ENSMUST00000186188
ENSMUSG00000095553,ENSMUST00000187044
ENSMUSG00000101099,ENSMUST00000185427
ENSMUSG00000101601,ENSMUST00000190631
ENSMUSG00000101516,ENSMUST00000188026
ENSMUSG00000101359,ENSMUST00000190920
ENSMUSG00000100790,ENSMUST00000188788
ENSMUSG00000101302,ENSMUST00000190126
ENSMUSG00000102125,ENSMUST00000189379
ENSMUSG00000094064,ENSMUST00000189751
ENSMUSG00000101421,ENSMUST00000187085
ENSMUSG00000099461,ENSMUST00000188948
ENSMUSG00000101706,ENSMUST00000185592
ENSMUSG00000096532,ENSMUST00000186630
ENSMUSG00000101627,ENSMUST00000185237
ENSMUSG00000101681,ENSMUST00000190561
ENSMUSG00000101870,ENSMUST00000189513
ENSMUSG00000101472,ENSMUST00000190343
ENSMUSG00000101407,ENSMUST00000185593
ENSMUSG00000099500,ENSMUST00000190569
ENSMUSG00000100097,ENSMUST00000187726
ENSMUSG00000099806,ENSMUST00000191284
ENSMUSG00000101474,ENSMUST00000187236
ENSMUSG00000099704,ENSMUST00000190289
ENSMUSG00000099737,ENSMUST00000187728
ENSMUSG00000099914,ENSMUST00000190397
ENSMUSG00000101417,ENSMUST00000189755
ENSMUSG00000101654,ENSMUST00000187192
ENSMUSG00000099369,ENSMUST00000186338
ENSMUSG00000101808,ENSMUST00000186886
ENSMUSG00000101893,ENSMUST00000189579
ENSMUSG00000099910,ENSMUST00000189088
ENSMUSG00000099818,ENSMUST00000188622
ENSMUSG00000100500,ENSMUST00000188565
ENSMUSG00000101255,ENSMUST00000189958
ENSMUSG00000099463,ENSMUST00000190140
ENSMUSG00000100745,ENSMUST00000185784
ENSMUSG00000101341,ENSMUST00000187689
ENSMUSG00000100193,ENSMUST00000188875
ENSMUSG00000099651,ENSMUST00000190611
ENSMUSG00000100535,ENSMUST00000189315
ENSMUSG00000099390,ENSMUST00000188647
ENSMUSG00000099738,ENSMUST00000189519
ENSMUSG00000100422,ENSMUST00000186871
ENSMUSG00000101988,ENSMUST00000190606
ENSMUSG00000100385,ENSMUST00000187139
ENSMUSG00000101626,ENSMUST00000191185
ENSMUSG00000101091,ENSMUST00000190852
ENSMUSG00000100229,ENSMUST00000186520
ENSMUSG00000101691,ENSMUST00000188571
ENSMUSG00000100244,ENSMUST00000190324
ENSMUSG00000100694,ENSMUST00000191008
ENSMUSG00000099799,ENSMUST00000187337
ENSMUSG00000101806,ENSMUST00000186417
ENSMUSG00000101632,ENSMUST00000190657
ENSMUSG00000099963,ENSMUST00000191085
ENSMUSG00000101857,ENSMUST00000191075
ENSMUSG00000101836,ENSMUST00000190413
ENSMUSG00000102008,ENSMUST00000188452
ENSMUSG00000100263,ENSMUST00000188536
ENSMUSG00000101425,ENSMUST00000185248
ENSMUSG00000099822,ENSMUST00000191389
ENSMUSG00000099547,ENSMUST00000191593
ENSMUSG00000101781,ENSMUST00000186034
ENSMUSG00000101271,ENSMUST00000186653
ENSMUSG00000099504,ENSMUST00000186204
ENSMUSG00000099782,ENSMUST00000189346
ENSMUSG00000101377,ENSMUST00000190743
ENSMUSG00000101038,ENSMUST00000189512
ENSMUSG00000101709,ENSMUST00000190425
ENSMUSG00000100604,ENSMUST00000189094
ENSMUSG00000099554,ENSMUST00000190319
ENSMUSG00000099814,ENSMUST00000186269
ENSMUSG00000101757,ENSMUST00000185811
ENSMUSG00000101815,ENSMUST00000186297
ENSMUSG00000101538,ENSMUST00000190520
ENSMUSG00000100251,ENSMUST00000185371
ENSMUSG00000100983,ENSMUST00000190848
ENSMUSG00000101820,ENSMUST00000190543
ENSMUSG00000099832,ENSMUST00000186756
ENSMUSG00000101246,ENSMUST00000187787
ENSMUSG00000101382,ENSMUST00000189183
ENSMUSG00000099967,ENSMUST00000187114
ENSMUSG00000100705,ENSMUST00000186862
ENSMUSG00000101157,ENSMUST00000190782
ENSMUSG00000099712,ENSMUST00000189889
ENSMUSG00000099586,ENSMUST00000191210
ENSMUSG00000101879,ENSMUST00000188530
ENSMUSG00000099412,ENSMUST00000190469
ENSMUSG00000101831,ENSMUST00000185869
ENSMUSG00000099601,ENSMUST00000189438
ENSMUSG00000101704,ENSMUST00000191365
ENSMUSG00000101349,ENSMUST00000190545
ENSMUSG00000100140,ENSMUST00000190429
ENSMUSG00000094575,ENSMUST00000177666
ENSMUSG00000101146,ENSMUST00000190173
ENSMUSG00000099499,ENSMUST00000188357
ENSMUSG00000101213,ENSMUST00000189717
ENSMUSG00000100952,ENSMUST00000188667
ENSMUSG00000099730,ENSMUST00000186357
ENSMUSG00000099896,ENSMUST00000189701
ENSMUSG00000101873,ENSMUST00000188221
ENSMUSG00000100260,ENSMUST00000186860
ENSMUSG00000100675,ENSMUST00000190142
ENSMUSG00000099807,ENSMUST00000189399
ENSMUSG00000101435,ENSMUST00000189554
ENSMUSG00000100544,ENSMUST00000188938
ENSMUSG00000100883,ENSMUST00000187925
ENSMUSG00000100902,ENSMUST00000188672
ENSMUSG00000100892,ENSMUST00000185240
ENSMUSG00000100673,ENSMUST00000186226
ENSMUSG00000101050,ENSMUST00000187087
ENSMUSG00000102025,ENSMUST00000190597
ENSMUSG00000099793,ENSMUST00000186918
ENSMUSG00000100699,ENSMUST00000189913
ENSMUSG00000099351,ENSMUST00000191282
ENSMUSG00000101771,ENSMUST00000185322
ENSMUSG00000100719,ENSMUST00000187228
ENSMUSG00000101740,ENSMUST00000185625
ENSMUSG00000100050,ENSMUST00000191420
ENSMUSG00000100588,ENSMUST00000186801
ENSMUSG00000102050,ENSMUST00000189151
ENSMUSG00000101238,ENSMUST00000189725
ENSMUSG00000100406,ENSMUST00000188812
ENSMUSG00000099526,ENSMUST00000187866
ENSMUSG00000101040,ENSMUST00000186449
ENSMUSG00000101272,ENSMUST00000189459
ENSMUSG00000101633,ENSMUST00000187045
ENSMUSG00000101283,ENSMUST00000186800
ENSMUSG00000100907,ENSMUST00000185468
ENSMUSG00000101960,ENSMUST00000189721
ENSMUSG00000101917,ENSMUST00000188724
ENSMUSG00000101205,ENSMUST00000188863
ENSMUSG00000100526,ENSMUST00000186251
ENSMUSG00000101785,ENSMUST00000188276
ENSMUSG00000100149,ENSMUST00000189778
ENSMUSG00000099953,ENSMUST00000189193
ENSMUSG00000102032,ENSMUST00000189548
ENSMUSG00000100823,ENSMUST00000186589
ENSMUSG00000099416,ENSMUST00000189573
ENSMUSG00000099606,ENSMUST00000189026
ENSMUSG00000100063,ENSMUST00000190919
ENSMUSG00000100722,ENSMUST00000187955
ENSMUSG00000096898,ENSMUST00000190987
ENSMUSG00000100366,ENSMUST00000187884
ENSMUSG00000100888,ENSMUST00000191188
ENSMUSG00000100433,ENSMUST00000188393
ENSMUSG00000102111,ENSMUST00000190627
ENSMUSG00000101060,ENSMUST00000186260
ENSMUSG00000099497,ENSMUST00000186846
ENSMUSG00000099479,ENSMUST00000188904
ENSMUSG00000101115,ENSMUST00000186118
ENSMUSG00000100849,ENSMUST00000186567
ENSMUSG00000099742,ENSMUST00000188140
ENSMUSG00000100999,ENSMUST00000189914
ENSMUSG00000101321,ENSMUST00000187598
ENSMUSG00000100328,ENSMUST00000189686
ENSMUSG00000094739,ENSMUST00000190349
ENSMUSG00000102071,ENSMUST00000186751
ENSMUSG00000101804,ENSMUST00000186293
ENSMUSG00000099849,ENSMUST00000188814
ENSMUSG00000100822,ENSMUST00000189475
ENSMUSG00000101471,ENSMUST00000190453
ENSMUSG00000101455,ENSMUST00000190371
ENSMUSG00000099700,ENSMUST00000189117
ENSMUSG00000101811,ENSMUST00000185976
ENSMUSG00000101247,ENSMUST00000191564
ENSMUSG00000100610,ENSMUST00000185316
ENSMUSG00000099408,ENSMUST00000185236
ENSMUSG00000101197,ENSMUST00000189797
ENSMUSG00000101207,ENSMUST00000191136
ENSMUSG00000102016,ENSMUST00000188564
ENSMUSG00000100051,ENSMUST00000187762
ENSMUSG00000101733,ENSMUST00000188018
ENSMUSG00000099977,ENSMUST00000187736
ENSMUSG00000099415,ENSMUST00000185500
ENSMUSG00000100953,ENSMUST00000188196
ENSMUSG00000099734,ENSMUST00000190296
ENSMUSG00000100693,ENSMUST00000185603
ENSMUSG00000100723,ENSMUST00000191229
ENSMUSG00000101981,ENSMUST00000187675
ENSMUSG00000099805,ENSMUST00000186669
ENSMUSG00000101070,ENSMUST00000190300
ENSMUSG00000100286,ENSMUST00000189187
ENSMUSG00000102081,ENSMUST00000187350
ENSMUSG00000099679,ENSMUST00000191161
ENSMUSG00000102031,ENSMUST00000186564
ENSMUSG00000100408,ENSMUST00000185615
ENSMUSG00000102116,ENSMUST00000186065
ENSMUSG00000101637,ENSMUST00000188609
ENSMUSG00000101649,ENSMUST00000187152
ENSMUSG00000095353,ENSMUST00000179570
ENSMUSG00000100469,ENSMUST00000188733
ENSMUSG00000100821,ENSMUST00000185214
ENSMUSG00000101058,ENSMUST00000188787
ENSMUSG00000099790,ENSMUST00000191277
ENSMUSG00000100187,ENSMUST00000188242
ENSMUSG00000101962,ENSMUST00000189417
ENSMUSG00000100598,ENSMUST00000191001
ENSMUSG00000100011,ENSMUST00000190542
ENSMUSG00000100879,ENSMUST00000189014
ENSMUSG00000101675,ENSMUST00000191406
ENSMUSG00000099480,ENSMUST00000191099
ENSMUSG00000100499,ENSMUST00000190590
ENSMUSG00000100298,ENSMUST00000185286
ENSMUSG00000100256,ENSMUST00000187800
ENSMUSG00000101201,ENSMUST00000188470
ENSMUSG00000101003,ENSMUST00000190521
ENSMUSG00000100628,ENSMUST00000188651
ENSMUSG00000100268,ENSMUST00000185978
ENSMUSG00000100003,ENSMUST00000191146
ENSMUSG00000101343,ENSMUST00000191448
ENSMUSG00000101907,ENSMUST00000188599
ENSMUSG00000099462,ENSMUST00000191354
ENSMUSG00000100035,ENSMUST00000185588
ENSMUSG00000101434,ENSMUST00000191470
ENSMUSG00000100061,ENSMUST00000190384
ENSMUSG00000100861,ENSMUST00000189549
ENSMUSG00000100317,ENSMUST00000186078
ENSMUSG00000101138,ENSMUST00000186332
ENSMUSG00000101329,ENSMUST00000186916
ENSMUSG00000100871,ENSMUST00000186199
ENSMUSG00000100532,ENSMUST00000187730
ENSMUSG00000100716,ENSMUST00000189125
ENSMUSG00000100325,ENSMUST00000188638
ENSMUSG00000101772,ENSMUST00000186231
ENSMUSG00000099667,ENSMUST00000189568
ENSMUSG00000099789,ENSMUST00000186615
ENSMUSG00000099593,ENSMUST00000189532
ENSMUSG00000101109,ENSMUST00000188821
ENSMUSG00000101582,ENSMUST00000186601
ENSMUSG00000101541,ENSMUST00000187964
ENSMUSG00000101273,ENSMUST00000187739
ENSMUSG00000101508,ENSMUST00000188603
ENSMUSG00000101884,ENSMUST00000191532
ENSMUSG00000100906,ENSMUST00000189709
ENSMUSG00000100852,ENSMUST00000187933
ENSMUSG00000100092,ENSMUST00000190875
ENSMUSG00000100284,ENSMUST00000190304
ENSMUSG00000099532,ENSMUST00000186104
ENSMUSG00002075613,ENSMUST00020183566
ENSMUSG00000102054,ENSMUST00000190660
ENSMUSG00002076259,ENSMUST00020182612
ENSMUSG00000101131,ENSMUST00000186581
ENSMUSG00000099339,ENSMUST00000188043
ENSMUSG00000100740,ENSMUST00000188397
ENSMUSG00000099674,ENSMUST00000189600
ENSMUSG00000100718,ENSMUST00000189902
ENSMUSG00000101069,ENSMUST00000191217
ENSMUSG00000100023,ENSMUST00000187804
ENSMUSG00000100531,ENSMUST00000187645
ENSMUSG00000099483,ENSMUST00000190540
ENSMUSG00000100646,ENSMUST00000189863
ENSMUSG00000099409,ENSMUST00000189287
ENSMUSG00000099522,ENSMUST00000188340
ENSMUSG00000100938,ENSMUST00000190994
ENSMUSG00000101950,ENSMUST00000191020
ENSMUSG00000099441,ENSMUST00000188669
ENSMUSG00000100411,ENSMUST00000190087
ENSMUSG00000100449,ENSMUST00000186638
ENSMUSG00000100970,ENSMUST00000188071
ENSMUSG00000099642,ENSMUST00000187833
ENSMUSG00000101354,ENSMUST00000189310
ENSMUSG00000101204,ENSMUST00000189943
ENSMUSG00000101835,ENSMUST00000190346
ENSMUSG00000102127,ENSMUST00000186990
ENSMUSG00000099362,ENSMUST00000191098
ENSMUSG00000099921,ENSMUST00000187506
ENSMUSG00002076147,ENSMUST00020182676
ENSMUSG00000095650,ENSMUST00000181549
ENSMUSG00000099477,ENSMUST00000188590
ENSMUSG00000102092,ENSMUST00000189182
ENSMUSG00000101989,ENSMUST00000189021
ENSMUSG00000100288,ENSMUST00000188769
ENSMUSG00000099341,ENSMUST00000188526
ENSMUSG00000101282,ENSMUST00000188694
ENSMUSG00002075299,ENSMUST00020182786
ENSMUSG00000101346,ENSMUST00000188424
ENSMUSG00000102061,ENSMUST00000188540
ENSMUSG00000100541,ENSMUST00000186191
ENSMUSG00000101961,ENSMUST00000189607
ENSMUSG00000099367,ENSMUST00000185544
ENSMUSG00000099666,ENSMUST00000187580
ENSMUSG00000100240,ENSMUST00000188754
ENSMUSG00000101347,ENSMUST00000185452
ENSMUSG00000099824,ENSMUST00000186782
ENSMUSG00000101263,ENSMUST00000187611
ENSMUSG00002076549,ENSMUST00020181692
ENSMUSG00000099986,ENSMUST00000186111
ENSMUSG00000100118,ENSMUST00000190374
ENSMUSG00000100854,ENSMUST00000186603
ENSMUSG00000101092,ENSMUST00000187116
ENSMUSG00000100817,ENSMUST00000187209
ENSMUSG00000102122,ENSMUST00000185245
ENSMUSG00000099513,ENSMUST00000189973
ENSMUSG00000101552,ENSMUST00000186908
ENSMUSG00000102110,ENSMUST00000186328
ENSMUSG00000100973,ENSMUST00000185609
ENSMUSG00000100388,ENSMUST00000189963
ENSMUSG00000099588,ENSMUST00000186704
ENSMUSG00000100028,ENSMUST00000190768
ENSMUSG00000100350,ENSMUST00000187289
ENSMUSG00000099867,ENSMUST00000185235
ENSMUSG00000100887,ENSMUST00000188186
ENSMUSG00000100773,ENSMUST00000190147
ENSMUSG00000100365,ENSMUST00000188060
ENSMUSG00000099985,ENSMUST00000187200
ENSMUSG00000099916,ENSMUST00000190347
ENSMUSG00000099613,ENSMUST00000191411
ENSMUSG00000101557,ENSMUST00000191276
ENSMUSG00000101222,ENSMUST00000189948
ENSMUSG00000101902,ENSMUST00000189870
ENSMUSG00000100787,ENSMUST00000187576
ENSMUSG00000101002,ENSMUST00000188946
ENSMUSG00000099856,ENSMUST00000186493
ENSMUSG00000101019,ENSMUST00000186187
ENSMUSG00000101241,ENSMUST00000188823
ENSMUSG00000101684,ENSMUST00000191176
ENSMUSG00000100695,ENSMUST00000185782
ENSMUSG00000100820,ENSMUST00000187780
ENSMUSG00000101866,ENSMUST00000189979
ENSMUSG00000101931,ENSMUST00000186747
ENSMUSG00000101646,ENSMUST00000187640
ENSMUSG00000100947,ENSMUST00000187805
ENSMUSG00000100461,ENSMUST00000188447
ENSMUSG00000100746,ENSMUST00000190217
ENSMUSG00000099675,ENSMUST00000189950
ENSMUSG00000101770,ENSMUST00000188417
ENSMUSG00000100248,ENSMUST00000188826
ENSMUSG00000099643,ENSMUST00000188893
ENSMUSG00000100996,ENSMUST00000189835
ENSMUSG00000099777,ENSMUST00000189307
ENSMUSG00000100930,ENSMUST00000187298
ENSMUSG00000099559,ENSMUST00000190236
ENSMUSG00000099637,ENSMUST00000186808
ENSMUSG00000100440,ENSMUST00000185222
ENSMUSG00000099565,ENSMUST00000187480
ENSMUSG00000099649,ENSMUST00000186516
ENSMUSG00000100391,ENSMUST00000191120
ENSMUSG00000101984,ENSMUST00000189054
ENSMUSG00000099494,ENSMUST00000188434
ENSMUSG00000100637,ENSMUST00000191091
ENSMUSG00000101850,ENSMUST00000185865
ENSMUSG00000099745,ENSMUST00000186257
ENSMUSG00000099436,ENSMUST00000188678
ENSMUSG00000101883,ENSMUST00000187212
ENSMUSG00000100067,ENSMUST00000185630
ENSMUSG00000102022,ENSMUST00000188159
ENSMUSG00000101497,ENSMUST00000188545
ENSMUSG00000101694,ENSMUST00000189429
ENSMUSG00000100492,ENSMUST00000188727
ENSMUSG00000099725,ENSMUST00000188104
ENSMUSG00000100853,ENSMUST00000188683
ENSMUSG00000099982,ENSMUST00000185365
ENSMUSG00000099506,ENSMUST00000189632
ENSMUSG00000101402,ENSMUST00000186562
ENSMUSG00000100584,ENSMUST00000187597
ENSMUSG00000100574,ENSMUST00000187502
ENSMUSG00000101570,ENSMUST00000189360
ENSMUSG00000101885,ENSMUST00000185828
ENSMUSG00000100095,ENSMUST00000185657
ENSMUSG00000102011,ENSMUST00000189525
ENSMUSG00000099654,ENSMUST00000188311
ENSMUSG00000100533,ENSMUST00000185605
ENSMUSG00000094729,ENSMUST00000187856
ENSMUSG00000100332,ENSMUST00000191372
ENSMUSG00000100678,ENSMUST00000191480
ENSMUSG00000101547,ENSMUST00000189869
ENSMUSG00000100401,ENSMUST00000186074
ENSMUSG00000101367,ENSMUST00000186067
ENSMUSG00000100778,ENSMUST00000189002
ENSMUSG00000100835,ENSMUST00000189700
ENSMUSG00000100045,ENSMUST00000186578
ENSMUSG00000101018,ENSMUST00000185921
ENSMUSG00000101178,ENSMUST00000189406
ENSMUSG00000101566,ENSMUST00000188508
ENSMUSG00000101190,ENSMUST00000187775
ENSMUSG00000099942,ENSMUST00000189795
ENSMUSG00000101368,ENSMUST00000186505
ENSMUSG00000099682,ENSMUST00000186593
ENSMUSG00000100227,ENSMUST00000186921
ENSMUSG00000099456,ENSMUST00000190417
ENSMUSG00000101783,ENSMUST00000187734
ENSMUSG00000100089,ENSMUST00000191054
ENSMUSG00000101542,ENSMUST00000189215
ENSMUSG00000099509,ENSMUST00000187367
ENSMUSG00000100424,ENSMUST00000188245
ENSMUSG00002076770,ENSMUST00020183724
ENSMUSG00000101534,ENSMUST00000191366
ENSMUSG00000100184,ENSMUST00000190134
ENSMUSG00000101967,ENSMUST00000188620
ENSMUSG00000101723,ENSMUST00000187443
ENSMUSG00000102056,ENSMUST00000190904
ENSMUSG00000099442,ENSMUST00000186654
ENSMUSG00000101148,ENSMUST00000187778
ENSMUSG00000101580,ENSMUST00000189989
ENSMUSG00000100054,ENSMUST00000189780
ENSMUSG00000100889,ENSMUST00000185934
ENSMUSG00000099607,ENSMUST00000189177
ENSMUSG00000100242,ENSMUST00000190437
ENSMUSG00000100167,ENSMUST00000187419
ENSMUSG00000100144,ENSMUST00000185941
ENSMUSG00000101045,ENSMUST00000187965
ENSMUSG00000101021,ENSMUST00000185442
ENSMUSG00000099485,ENSMUST00000186092
ENSMUSG00000099548,ENSMUST00000185862
ENSMUSG00000101891,ENSMUST00000191588
ENSMUSG00000100238,ENSMUST00000187408
ENSMUSG00000101103,ENSMUST00000190137
ENSMUSG00000099866,ENSMUST00000185350
ENSMUSG00000101910,ENSMUST00000191561
ENSMUSG00000100579,ENSMUST00000189645
ENSMUSG00000100057,ENSMUST00000190325
ENSMUSG00000101592,ENSMUST00000187441
ENSMUSG00000100609,ENSMUST00000187203
ENSMUSG00000101993,ENSMUST00000191165
ENSMUSG00000099935,ENSMUST00000190310
ENSMUSG00000100012,ENSMUST00000190931
ENSMUSG00000099836,ENSMUST00000187384
ENSMUSG00000100404,ENSMUST00000190823
ENSMUSG00000099865,ENSMUST00000189321
ENSMUSG00000100474,ENSMUST00000189263
ENSMUSG00000100757,ENSMUST00000185846
ENSMUSG00000100606,ENSMUST00000191490
ENSMUSG00000101170,ENSMUST00000187887
ENSMUSG00000099355,ENSMUST00000189689
ENSMUSG00000100874,ENSMUST00000186490
ENSMUSG00000101689,ENSMUST00000189838
ENSMUSG00000099626,ENSMUST00000186815
ENSMUSG00000102108,ENSMUST00000189092
ENSMUSG00000093950,ENSMUST00000179949
ENSMUSG00000101466,ENSMUST00000187012
ENSMUSG00000101614,ENSMUST00000187258
ENSMUSG00000101882,ENSMUST00000188878
ENSMUSG00000099585,ENSMUST00000188860
ENSMUSG00000101182,ENSMUST00000188176
ENSMUSG00000101668,ENSMUST00000189569
ENSMUSG00000099975,ENSMUST00000188297
ENSMUSG00000099783,ENSMUST00000186991
ENSMUSG00000101390,ENSMUST00000187261
ENSMUSG00000099699,ENSMUST00000185843
ENSMUSG00000100856,ENSMUST00000187768
ENSMUSG00000101544,ENSMUST00000188062
ENSMUSG00000100159,ENSMUST00000190978
ENSMUSG00000101119,ENSMUST00000185339
ENSMUSG00000099520,ENSMUST00000185900
ENSMUSG00000102107,ENSMUST00000186032
ENSMUSG00000101057,ENSMUST00000186468
ENSMUSG00000101125,ENSMUST00000188079
ENSMUSG00000100521,ENSMUST00000189510
ENSMUSG00000101790,ENSMUST00000191534
ENSMUSG00000100452,ENSMUST00000187206
ENSMUSG00000099350,ENSMUST00000188316
ENSMUSG00000100329,ENSMUST00000190914
ENSMUSG00000099940,ENSMUST00000188697
ENSMUSG00000101766,ENSMUST00000186004
ENSMUSG00000101530,ENSMUST00000186396
ENSMUSG00000100676,ENSMUST00000188103
ENSMUSG00000101539,ENSMUST00000188457
ENSMUSG00000100353,ENSMUST00000186650
ENSMUSG00000101569,ENSMUST00000189207
ENSMUSG00000101184,ENSMUST00000189681
ENSMUSG00000099386,ENSMUST00000187101
ENSMUSG00000095785,ENSMUST00000186910
ENSMUSG00000099487,ENSMUST00000187722
ENSMUSG00000101507,ENSMUST00000188224
ENSMUSG00000093993,ENSMUST00000185550
ENSMUSG00000100956,ENSMUST00000187373
ENSMUSG00000100942,ENSMUST00000186091
ENSMUSG00000100333,ENSMUST00000189366
ENSMUSG00000100126,ENSMUST00000190181
ENSMUSG00000099778,ENSMUST00000188690
ENSMUSG00000101512,ENSMUST00000186847
ENSMUSG00000101256,ENSMUST00000191344
ENSMUSG00000101758,ENSMUST00000191478
ENSMUSG00000099395,ENSMUST00000186250
ENSMUSG00000100982,ENSMUST00000188117
ENSMUSG00000100447,ENSMUST00000188723
ENSMUSG00000100607,ENSMUST00000186305
ENSMUSG00000099829,ENSMUST00000185898
ENSMUSG00000101278,ENSMUST00000190168
ENSMUSG00000101442,ENSMUST00000185382
ENSMUSG00000096666,ENSMUST00000188011
ENSMUSG00000100373,ENSMUST00000190434
ENSMUSG00000102077,ENSMUST00000186177
ENSMUSG00000095302,ENSMUST00000190565
