GeneSymbol_Mouse,GeneSymbol_Human,Source,Daneman_Filter,In_Walchli_EC,In_Yang_EC,In_Winkler_EC,Human_BBB_Datasets_N,HumanEnsembl,MouseEnsembl,Mouse_OrthoType,Mouse_PercId,MacaqueEnsembl,Macaque_OrthoType,Macaque_PercId
Abhd2,ABHD2,Munji,NA,TRUE,FALSE,FALSE,1,ENSG00000140526,ENSMUSG00000039202,ortholog_one2one,98.8235,ENSMMUG00000014414,ortholog_one2one,99.7647
Abl2,ABL2,Daneman,lung_only,TRUE,TRUE,FALSE,2,ENSG00000143322,ENSMUSG00000026596,ortholog_one2one,94.7547,ENSMMUG00000006262,ortholog_one2one,99.2386
Ablim1,ABLIM1,Both,liver_only,TRUE,FALSE,TRUE,2,ENSG00000099204,ENSMUSG00000025085,ortholog_one2one,86.1183,ENSMMUG00000022524,ortholog_one2one,90.3599
Acaa2,ACAA2,Daneman,lung_only,TRUE,FALSE,FALSE,1,ENSG00000167315,ENSMUSG00000036880,ortholog_one2one,87.9093,ENSMMUG00000003040,ortholog_one2one,97.733
Acacb,ACACB,Munji,NA,TRUE,FALSE,TRUE,2,ENSG00000076555,ENSMUSG00000042010,ortholog_one2one,88.4459,ENSMMUG00000022698,ortholog_one2one,98.1286
Acadl,ACADL,Daneman,lung_only,TRUE,FALSE,FALSE,1,ENSG00000115361,ENSMUSG00000026003,ortholog_one2one,86.2791,NA,NA,NA
Acat2,ACAT2,Munji,NA,TRUE,FALSE,FALSE,1,ENSG00000120437,ENSMUSG00000062480,ortholog_one2many,85.8942,ENSMMUG00000030261,ortholog_one2many,90.4282
Acat2,ACAT2,Munji,NA,TRUE,FALSE,FALSE,1,ENSG00000120437,ENSMUSG00000062480,ortholog_one2many,85.8942,ENSMMUG00000012843,ortholog_one2many,95.7179
Acat2,ACAT2,Munji,NA,TRUE,FALSE,FALSE,1,ENSG00000120437,ENSMUSG00000023832,ortholog_one2many,87.6574,ENSMMUG00000030261,ortholog_one2many,90.4282
Acat2,ACAT2,Munji,NA,TRUE,FALSE,FALSE,1,ENSG00000120437,ENSMUSG00000023832,ortholog_one2many,87.6574,ENSMMUG00000012843,ortholog_one2many,95.7179
Acbd5,ACBD5,Daneman,liver_only,TRUE,FALSE,FALSE,1,ENSG00000107897,ENSMUSG00000026781,ortholog_one2one,80.381,ENSMMUG00000016410,ortholog_one2one,97.5238
Ace,ACE,Daneman,liver_only,TRUE,FALSE,FALSE,1,ENSG00000159640,ENSMUSG00000020681,ortholog_one2one,83.3078,ENSMMUG00000012608,ortholog_one2one,97.7795
Ace2,ACE2,Daneman,liver_and_lung,FALSE,FALSE,FALSE,0,ENSG00000130234,ENSMUSG00000015405,ortholog_one2one,82.1118,ENSMMUG00000014048,ortholog_one2one,95.1553
Acot2,ACOT2,Munji,NA,TRUE,FALSE,FALSE,1,ENSG00000119673,ENSMUSG00000042540,ortholog_many2many,64.3892,NA,NA,NA
Acot2,ACOT2,Munji,NA,TRUE,FALSE,FALSE,1,ENSG00000119673,ENSMUSG00000021226,ortholog_many2many,70.1863,NA,NA,NA
Acot2,ACOT2,Munji,NA,TRUE,FALSE,FALSE,1,ENSG00000119673,ENSMUSG00000072949,ortholog_many2many,66.4596,NA,NA,NA
Acot2,ACOT2,Munji,NA,TRUE,FALSE,FALSE,1,ENSG00000119673,ENSMUSG00000021228,ortholog_many2many,66.4596,NA,NA,NA
Acot7,ACOT7,Daneman,lung_only,TRUE,FALSE,FALSE,1,ENSG00000097021,ENSMUSG00000028937,ortholog_one2one,84.8649,ENSMMUG00000004094,ortholog_one2one,80.8108
Acsl3,ACSL3,Munji,NA,TRUE,FALSE,FALSE,1,ENSG00000123983,ENSMUSG00000032883,ortholog_one2one,92.9167,ENSMMUG00000005393,ortholog_one2one,98.6111
Acsl6,ACSL6,Daneman,liver_only,TRUE,FALSE,FALSE,1,ENSG00000164398,ENSMUSG00000020333,ortholog_one2one,91.6898,ENSMMUG00000016909,ortholog_one2one,96.2604
Actl6a,ACTL6A,Daneman,lung_only,TRUE,FALSE,FALSE,1,ENSG00000136518,ENSMUSG00000027671,ortholog_one2one,98.8345,ENSMMUG00000009742,ortholog_one2one,100
Acvrl1,ACVRL1,Daneman,liver_only,TRUE,FALSE,TRUE,2,ENSG00000139567,ENSMUSG00000000530,ortholog_one2one,88.668,ENSMMUG00000004982,ortholog_one2one,98.6084
Adamts4,ADAMTS4,Daneman,lung_only,TRUE,FALSE,FALSE,1,ENSG00000158859,ENSMUSG00000006403,ortholog_one2one,90.4421,ENSMMUG00000050419,ortholog_one2one,99.0442
Adamts9,ADAMTS9,Daneman,lung_only,TRUE,TRUE,FALSE,2,ENSG00000163638,ENSMUSG00000030022,ortholog_one2one,88.9406,ENSMMUG00000000265,ortholog_one2one,99.1214
Adamtsl2,ADAMTSL2,Daneman,lung_only,TRUE,FALSE,FALSE,1,ENSG00000197859,ENSMUSG00000036040,ortholog_one2one,88.5384,ENSMMUG00000017203,ortholog_one2one,98.0021
Adcy9,ADCY9,Both,liver_only,TRUE,FALSE,FALSE,1,ENSG00000162104,ENSMUSG00000005580,ortholog_one2one,92.1656,ENSMMUG00000039943,ortholog_one2one,98.7435
Adh1,ADH1C,Daneman,lung_only,TRUE,FALSE,FALSE,1,ENSG00000248144,ENSMUSG00000074207,ortholog_one2many,85.0667,NA,NA,NA
Adipor1,ADIPOR1,Daneman,lung_only,TRUE,FALSE,FALSE,1,ENSG00000159346,ENSMUSG00000026457,ortholog_one2one,96.8,ENSMMUG00000007046,ortholog_one2one,99.2
Adipor2,ADIPOR2,Daneman,liver_only,TRUE,FALSE,TRUE,2,ENSG00000285070,NA,NA,NA,NA,NA,NA
Adk,ADK,Daneman,liver_only,TRUE,FALSE,FALSE,1,ENSG00000156110,ENSMUSG00000039197,ortholog_one2one,91.4365,ENSMMUG00000022237,ortholog_one2one,97.2376
Adm,ADM,Daneman,lung_only,TRUE,FALSE,FALSE,1,ENSG00000148926,ENSMUSG00000030790,ortholog_one2one,65.9459,ENSMMUG00000016387,ortholog_one2one,82.1622
Adrbk2,ADRBK2,Daneman,liver_and_lung,FALSE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,NA
Agpat5,AGPAT5,Daneman,lung_only,TRUE,FALSE,FALSE,1,ENSG00000284980,NA,NA,NA,NA,NA,NA
Agr2,AGR2,Munji,NA,FALSE,FALSE,FALSE,0,ENSG00000106541,ENSMUSG00000020581,ortholog_one2one,91.4286,ENSMMUG00000017050,ortholog_one2one,98.8571
Agrn,AGRN,Munji,NA,TRUE,FALSE,TRUE,2,ENSG00000188157,ENSMUSG00000041936,ortholog_one2one,81.6137,ENSMMUG00000000838,ortholog_one2one,96.0391
Ahnak,AHNAK,Daneman,liver_only,TRUE,FALSE,FALSE,1,ENSG00000124942,ENSMUSG00000069833,ortholog_one2one,78.3362,ENSMMUG00000022301,ortholog_one2one,93.1918
Akr1b3,AKR1B1,Daneman,liver_and_lung,TRUE,FALSE,FALSE,1,ENSG00000085662,ENSMUSG00000001642,ortholog_one2one,85.443,ENSMMUG00000000917,ortholog_one2one,93.038
Alas1,ALAS1,Munji,NA,TRUE,FALSE,FALSE,1,ENSG00000023330,ENSMUSG00000032786,ortholog_one2one,91.7188,ENSMMUG00000005596,ortholog_one2one,99.2188
Alas2,ALAS2,Munji,NA,TRUE,FALSE,FALSE,1,ENSG00000158578,ENSMUSG00000025270,ortholog_one2one,90.1192,ENSMMUG00000008429,ortholog_one2one,98.1261
Aldh1a1,ALDH1A1,Daneman,liver_only,TRUE,FALSE,FALSE,1,ENSG00000165092,ENSMUSG00000053279,ortholog_one2many,87.0259,ENSMMUG00000013303,ortholog_one2one,95.8084
Aldh1a1,ALDH1A1,Daneman,liver_only,TRUE,FALSE,FALSE,1,ENSG00000165092,ENSMUSG00000024747,ortholog_one2many,84.4311,ENSMMUG00000013303,ortholog_one2one,95.8084
Aldh2,ALDH2,Daneman,liver_only,TRUE,FALSE,FALSE,1,ENSG00000111275,ENSMUSG00000029455,ortholog_one2one,94.7776,NA,NA,NA
Aldh4a1,ALDH4A1,Munji,NA,TRUE,FALSE,FALSE,1,ENSG00000159423,ENSMUSG00000028737,ortholog_one2one,91.8295,ENSMMUG00000004751,ortholog_one2one,97.6909
Aldh5a1,ALDH5A1,Munji,NA,TRUE,FALSE,FALSE,1,ENSG00000112294,ENSMUSG00000035936,ortholog_one2one,83.7383,ENSMMUG00000019368,ortholog_one2one,96.4486
Aldh6a1,ALDH6A1,Daneman,liver_only,TRUE,FALSE,FALSE,1,ENSG00000119711,ENSMUSG00000021238,ortholog_one2one,94.7664,ENSMMUG00000012684,ortholog_one2one,97.757
Alg6,ALG6,Munji,NA,TRUE,FALSE,FALSE,1,ENSG00000088035,ENSMUSG00000073792,ortholog_one2one,84.4181,ENSMMUG00000020046,ortholog_one2one,97.4359
Alox12,ALOX12,Daneman,liver_only,FALSE,FALSE,FALSE,0,ENSG00000108839,ENSMUSG00000000320,ortholog_one2one,85.5204,ENSMMUG00000016264,ortholog_one2one,96.0784
Als2cl,ALS2CL,Daneman,liver_only,TRUE,FALSE,FALSE,1,ENSG00000178038,ENSMUSG00000044037,ortholog_one2one,81.2172,ENSMMUG00000021247,ortholog_one2one,96.957
Amd1,AMD1,Daneman,liver_only,TRUE,FALSE,FALSE,1,ENSG00000123505,ENSMUSG00000075232,ortholog_one2many,98.2036,ENSMMUG00000000535,ortholog_one2one,99.4012
Amd1,AMD1,Daneman,liver_only,TRUE,FALSE,FALSE,1,ENSG00000123505,ENSMUSG00000063953,ortholog_one2many,97.9042,ENSMMUG00000000535,ortholog_one2one,99.4012
Amot,AMOT,Both,liver_only,TRUE,FALSE,FALSE,1,ENSG00000126016,ENSMUSG00000041688,ortholog_one2one,87.2694,ENSMMUG00000007688,ortholog_one2one,97.786
Ampd3,AMPD3,Daneman,liver_only,TRUE,FALSE,FALSE,1,ENSG00000133805,ENSMUSG00000005686,ortholog_one2one,94.3937,ENSMMUG00000015785,ortholog_one2one,98.5658
Angpt2,ANGPT2,Daneman,lung_only,TRUE,FALSE,FALSE,1,ENSG00000091879,ENSMUSG00000031465,ortholog_one2one,85.4545,ENSMMUG00000010139,ortholog_one2one,98.9899
Angptl4,ANGPTL4,Daneman,lung_only,TRUE,FALSE,FALSE,1,ENSG00000167772,ENSMUSG00000002289,ortholog_one2one,75.3695,ENSMMUG00000000698,ortholog_one2one,95.0739
Ankrd12,ANKRD12,Daneman,liver_only,TRUE,FALSE,FALSE,1,ENSG00000101745,ENSMUSG00000034647,ortholog_one2one,81.3288,ENSMMUG00000049523,ortholog_one2one,97.9146
Ankrd46,ANKRD46,Daneman,liver_only,TRUE,FALSE,FALSE,1,ENSG00000186106,ENSMUSG00000048307,ortholog_one2one,97.807,ENSMMUG00000009958,ortholog_one2one,93.8596
Ankrd6,ANKRD6,Both,liver_only,TRUE,FALSE,FALSE,1,ENSG00000135299,ENSMUSG00000040183,ortholog_one2one,83.2187,ENSMMUG00000003462,ortholog_one2one,94.2228
Anks1,ANKS1A,Daneman,liver_only,TRUE,FALSE,TRUE,2,ENSG00000064999,ENSMUSG00000024219,ortholog_one2one,87.7425,ENSMMUG00000021718,ortholog_one2one,98.1481
Anln,ANLN,Daneman,lung_only,TRUE,FALSE,FALSE,1,ENSG00000011426,ENSMUSG00000036777,ortholog_one2one,80.1601,ENSMMUG00000021186,ortholog_one2one,97.242
Antxr2,ANTXR2,Daneman,lung_only,TRUE,FALSE,FALSE,1,ENSG00000163297,ENSMUSG00000029338,ortholog_one2one,82.7869,ENSMMUG00000003333,ortholog_one2one,96.7213
Anxa6,ANXA6,Daneman,lung_only,TRUE,FALSE,TRUE,2,ENSG00000197043,ENSMUSG00000018340,ortholog_one2one,94.3536,ENSMMUG00000021053,ortholog_one2one,98.9599
Anxa9,ANXA9,Munji,NA,TRUE,FALSE,FALSE,1,ENSG00000143412,ENSMUSG00000015702,ortholog_one2one,77.6812,ENSMMUG00000023231,ortholog_one2one,94.2029
Aox1,AOX1,Daneman,liver_only,FALSE,FALSE,FALSE,0,ENSG00000138356,ENSMUSG00000063558,ortholog_one2one,83.0344,ENSMMUG00000021931,ortholog_one2one,95.8147
Ap1s1,AP1S1,Daneman,lung_only,TRUE,FALSE,FALSE,1,ENSG00000106367,ENSMUSG00000004849,ortholog_one2one,100,ENSMMUG00000010162,ortholog_one2one,100
Ap2s1,AP2S1,Daneman,lung_only,TRUE,FALSE,FALSE,1,ENSG00000042753,ENSMUSG00000008036,ortholog_one2one,100,ENSMMUG00000000833,ortholog_one2one,93.662
Ap3m1,AP3M1,Daneman,liver_only,TRUE,FALSE,FALSE,1,ENSG00000185009,ENSMUSG00000021824,ortholog_one2one,99.5215,ENSMMUG00000020825,ortholog_one2one,99.7608
Apcdd1,APCDD1,Both,lung_only,TRUE,FALSE,TRUE,2,ENSG00000154856,ENSMUSG00000071847,ortholog_one2one,91.8288,ENSMMUG00000056891,ortholog_one2one,99.2218
Apex1,APEX1,Daneman,lung_only,TRUE,FALSE,FALSE,1,ENSG00000291796,NA,NA,NA,NA,NA,NA
Aph1a,APH1A,Both,lung_only,TRUE,FALSE,FALSE,1,ENSG00000117362,ENSMUSG00000015750,ortholog_one2one,99.2453,ENSMMUG00000021386,ortholog_one2one,80.7547
Apln,APLN,Daneman,lung_only,TRUE,FALSE,FALSE,1,ENSG00000171388,ENSMUSG00000037010,ortholog_one2one,83.1169,NA,NA,NA
Apod,APOD,Both,lung_only,TRUE,FALSE,TRUE,2,ENSG00000189058,ENSMUSG00000022548,ortholog_one2one,71.9577,ENSMMUG00000063008,ortholog_one2one,87.3016
App,APP,Daneman,liver_only,TRUE,FALSE,TRUE,2,ENSG00000142192,ENSMUSG00000022892,ortholog_one2one,94.8052,ENSMMUG00000014384,ortholog_one2one,97.2727
Aprt,APRT,Daneman,lung_only,TRUE,FALSE,FALSE,1,ENSG00000198931,ENSMUSG00000006589,ortholog_one2one,82.7778,NA,NA,NA
Aqp11,AQP11,Both,liver_only,TRUE,FALSE,FALSE,1,ENSG00000178301,ENSMUSG00000042797,ortholog_one2one,83.0258,ENSMMUG00000018944,ortholog_one2one,97.786
Arf4,ARF4,Daneman,lung_only,TRUE,FALSE,FALSE,1,ENSG00000168374,ENSMUSG00000021877,ortholog_one2one,94.4444,ENSMMUG00000018617,ortholog_one2many,100
Arf4,ARF4,Daneman,lung_only,TRUE,FALSE,FALSE,1,ENSG00000168374,ENSMUSG00000021877,ortholog_one2one,94.4444,ENSMMUG00000019688,ortholog_one2many,84.4444
Arfgap3,ARFGAP3,Daneman,liver_only,TRUE,FALSE,FALSE,1,ENSG00000242247,ENSMUSG00000054277,ortholog_one2one,81.3953,ENSMMUG00000002229,ortholog_one2one,95.7364
Arhgap12,ARHGAP12,Daneman,liver_only,TRUE,FALSE,FALSE,1,ENSG00000165322,ENSMUSG00000041225,ortholog_one2one,91.0165,ENSMMUG00000004778,ortholog_one2one,98.6998
Arhgap18,ARHGAP18,Daneman,lung_only,TRUE,FALSE,FALSE,1,ENSG00000146376,ENSMUSG00000039031,ortholog_one2one,84.7662,ENSMMUG00000020365,ortholog_one2one,96.9834
Arhgap26,ARHGAP26,Daneman,liver_only,TRUE,FALSE,TRUE,2,ENSG00000145819,ENSMUSG00000036452,ortholog_one2one,96.9697,ENSMMUG00000000419,ortholog_one2one,98.8142
Arhgap6,ARHGAP6,Daneman,liver_only,TRUE,FALSE,TRUE,2,ENSG00000047648,ENSMUSG00000031355,ortholog_one2one,85.9343,ENSMMUG00000003896,ortholog_one2one,97.5359
Arhgef15,ARHGEF15,Daneman,liver_only,TRUE,FALSE,FALSE,1,ENSG00000198844,ENSMUSG00000052921,ortholog_one2one,85.1367,ENSMMUG00000008749,ortholog_one2one,97.2652
Arhgef3,ARHGEF3,Daneman,liver_only,TRUE,FALSE,TRUE,2,ENSG00000163947,ENSMUSG00000021895,ortholog_one2one,91.635,ENSMMUG00000010163,ortholog_one2one,94.6768
Arhgef7,ARHGEF7,Daneman,lung_only,TRUE,FALSE,FALSE,1,ENSG00000102606,ENSMUSG00000031511,ortholog_one2one,84.6868,ENSMMUG00000013138,ortholog_one2one,99.652
Arhgef9,ARHGEF9,Munji,NA,TRUE,FALSE,FALSE,1,ENSG00000131089,ENSMUSG00000025656,ortholog_one2one,98.6616,ENSMMUG00000016233,ortholog_one2one,99.044
Arid4a,ARID4A,Daneman,liver_only,TRUE,FALSE,FALSE,1,ENSG00000032219,ENSMUSG00000048118,ortholog_one2one,85.8393,ENSMMUG00000003514,ortholog_one2one,98.9658
Arid5b,ARID5B,Daneman,liver_only,TRUE,FALSE,TRUE,2,ENSG00000150347,ENSMUSG00000019947,ortholog_one2one,88.0471,ENSMMUG00000000424,ortholog_one2one,98.3165
Arl4a,ARL4A,Munji,NA,TRUE,FALSE,TRUE,2,ENSG00000122644,ENSMUSG00000047446,ortholog_one2one,99.5,ENSMMUG00000010846,ortholog_one2one,99.5
Armcx2,ARMCX2,Daneman,lung_only,TRUE,FALSE,FALSE,1,ENSG00000184867,ENSMUSG00000033436,ortholog_one2one,78.7975,ENSMMUG00000015656,ortholog_one2one,98.1013
Arntl,ARNTL,Daneman,liver_only,TRUE,FALSE,FALSE,1,NA,NA,NA,NA,NA,NA,NA
Art3,ART3,Daneman,liver_and_lung,TRUE,FALSE,FALSE,1,ENSG00000156219,ENSMUSG00000034842,ortholog_one2one,52.9563,ENSMMUG00000020907,ortholog_one2one,93.0591
Asb13,ASB13,Daneman,liver_only,TRUE,FALSE,FALSE,1,ENSG00000196372,ENSMUSG00000033781,ortholog_one2one,97.8417,ENSMMUG00000001290,ortholog_one2one,98.9209
Ash1l,ASH1L,Daneman,liver_only,TRUE,FALSE,FALSE,1,ENSG00000116539,ENSMUSG00000028053,ortholog_one2one,92.0378,ENSMMUG00000023146,ortholog_one2one,98.8192
Aspn,ASPN,Daneman,liver_and_lung,TRUE,FALSE,TRUE,2,ENSG00000292224,NA,NA,NA,NA,NA,NA
Atf2,ATF2,Daneman,liver_only,TRUE,FALSE,FALSE,1,ENSG00000115966,ENSMUSG00000027104,ortholog_one2one,95.6436,ENSMMUG00000003947,ortholog_one2one,100
Atf4,ATF4,Daneman,liver_only,TRUE,FALSE,TRUE,2,ENSG00000128272,ENSMUSG00000042406,ortholog_one2one,86.6097,ENSMMUG00000055780,ortholog_one2one,98.0057
Atf7ip,ATF7IP,Daneman,liver_only,TRUE,FALSE,FALSE,1,ENSG00000171681,ENSMUSG00000030213,ortholog_one2one,75.2756,ENSMMUG00000003664,ortholog_one2one,97.2441
Atp10a,ATP10A,Both,liver_only,TRUE,FALSE,TRUE,2,ENSG00000206190,ENSMUSG00000025324,ortholog_one2one,80.9873,ENSMMUG00000054546,ortholog_one2one,94.5297
Atp11a,ATP11A,Daneman,liver_only,TRUE,TRUE,TRUE,3,ENSG00000068650,ENSMUSG00000031441,ortholog_one2one,91.9753,ENSMMUG00000013625,ortholog_one2one,97.7954
Atp13a2,ATP13A2,Daneman,lung_only,TRUE,FALSE,FALSE,1,ENSG00000159363,ENSMUSG00000036622,ortholog_one2one,85.4237,ENSMMUG00000001610,ortholog_one2one,91.3559
Atp13a5,ATP13A5,Daneman,liver_and_lung,FALSE,FALSE,FALSE,0,ENSG00000187527,ENSMUSG00000048939,ortholog_one2one,82.9228,ENSMMUG00000009760,ortholog_one2one,95.4023
Atp1a2,ATP1A2,Daneman,liver_and_lung,TRUE,FALSE,FALSE,1,ENSG00000018625,ENSMUSG00000007097,ortholog_one2one,99.1176,NA,NA,NA
Atp1b1,ATP1B1,Daneman,lung_only,TRUE,FALSE,TRUE,2,ENSG00000143153,ENSMUSG00000026576,ortholog_one2one,94.0594,ENSMMUG00000021078,ortholog_one2one,98.0198
Atp1b2,ATP1B2,Daneman,liver_and_lung,TRUE,FALSE,FALSE,1,ENSG00000129244,ENSMUSG00000041329,ortholog_one2one,97.2414,ENSMMUG00000044486,ortholog_one2one,99.3103
Atp2a3,ATP2A3,Daneman,liver_and_lung,TRUE,FALSE,FALSE,1,ENSG00000074370,ENSMUSG00000020788,ortholog_one2one,94.6947,ENSMMUG00000008263,ortholog_one2one,84.6847
Atp2c1,ATP2C1,Daneman,liver_only,TRUE,FALSE,FALSE,1,ENSG00000017260,ENSMUSG00000032570,ortholog_one2one,96.7356,ENSMMUG00000005137,ortholog_one2one,99.1295
Atp5a1,ATP5A1,Daneman,lung_only,TRUE,FALSE,FALSE,1,NA,NA,NA,NA,NA,NA,NA
Atp5d,ATP5D,Daneman,lung_only,TRUE,FALSE,FALSE,1,NA,NA,NA,NA,NA,NA,NA
Atp5f1,ATP5F1,Daneman,lung_only,TRUE,FALSE,FALSE,1,NA,NA,NA,NA,NA,NA,NA
Atp5g1,ATP5G1,Daneman,lung_only,TRUE,FALSE,FALSE,1,NA,NA,NA,NA,NA,NA,NA
Atp5g2,ATP5G2,Daneman,lung_only,TRUE,FALSE,FALSE,1,NA,NA,NA,NA,NA,NA,NA
Atp5o,ATP5O,Daneman,lung_only,TRUE,FALSE,FALSE,1,NA,NA,NA,NA,NA,NA,NA
Atp6v0d1,ATP6V0D1,Daneman,lung_only,TRUE,FALSE,FALSE,1,ENSG00000159720,ENSMUSG00000013160,ortholog_one2one,99.7151,ENSMMUG00000029105,ortholog_one2one,100
Atp8a1,ATP8A1,Daneman,liver_only,TRUE,FALSE,FALSE,1,ENSG00000124406,ENSMUSG00000037685,ortholog_one2one,98.11,ENSMMUG00000017733,ortholog_one2one,98.7972
Atp9a,ATP9A,Daneman,lung_only,TRUE,FALSE,TRUE,2,ENSG00000054793,ENSMUSG00000027546,ortholog_one2one,97.9943,ENSMMUG00000000918,ortholog_one2one,99.9045
Atpif1,ATPIF1,Daneman,lung_only,TRUE,FALSE,FALSE,1,NA,NA,NA,NA,NA,NA,NA
Axin2,AXIN2,Both,liver_only,TRUE,FALSE,FALSE,1,ENSG00000168646,ENSMUSG00000000142,ortholog_one2one,90.0356,ENSMMUG00000060015,ortholog_one2one,98.4579
B2m,B2M,Daneman,liver_only,TRUE,FALSE,TRUE,2,ENSG00000273686,NA,NA,NA,NA,NA,NA
B3gnt1,B3GNT1,Daneman,liver_only,FALSE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,NA
B4galt4,B4GALT4,Munji,NA,TRUE,FALSE,FALSE,1,ENSG00000121578,ENSMUSG00000022793,ortholog_one2one,83.4302,ENSMMUG00000062606,ortholog_one2many,24.7093
B4galt4,B4GALT4,Munji,NA,TRUE,FALSE,FALSE,1,ENSG00000121578,ENSMUSG00000022793,ortholog_one2one,83.4302,ENSMMUG00000003592,ortholog_one2many,88.6628
Baiap2l1,BAIAP2L1,Munji,NA,TRUE,FALSE,FALSE,1,ENSG00000006453,ENSMUSG00000038859,ortholog_one2one,88.454,ENSMMUG00000013276,ortholog_one2one,95.8904
Bambi,BAMBI,Daneman,lung_only,TRUE,FALSE,FALSE,1,ENSG00000095739,ENSMUSG00000024232,ortholog_one2one,93.0769,ENSMMUG00000058108,ortholog_one2one,98.8462
Banf1,BANF1,Daneman,lung_only,TRUE,FALSE,FALSE,1,ENSG00000175334,ENSMUSG00000024844,ortholog_one2one,96.6292,NA,NA,NA
Basp1,BASP1,Daneman,lung_only,TRUE,FALSE,FALSE,1,ENSG00000176788,ENSMUSG00000045763,ortholog_one2one,72.2467,ENSMMUG00000061751,ortholog_one2one,98.6784
Baz1a,BAZ1A,Daneman,lung_only,TRUE,FALSE,TRUE,2,ENSG00000198604,ENSMUSG00000035021,ortholog_one2one,87.1465,ENSMMUG00000058073,ortholog_one2one,98.5861
Bche,BCHE,Both,liver_only,TRUE,FALSE,FALSE,1,ENSG00000114200,ENSMUSG00000027792,ortholog_one2one,79.5681,ENSMMUG00000003742,ortholog_one2one,95.8472
Bcl10,BCL10,Daneman,lung_only,TRUE,FALSE,FALSE,1,ENSG00000142867,ENSMUSG00000028191,ortholog_one2one,90.5579,ENSMMUG00000005720,ortholog_one2one,99.1416
Bcl2l1,BCL2L1,Daneman,liver_only,TRUE,FALSE,FALSE,1,ENSG00000171552,ENSMUSG00000007659,ortholog_one2one,97.8541,ENSMMUG00000005985,ortholog_one2one,99.5708
Bcl6,BCL6,Daneman,liver_only,TRUE,FALSE,TRUE,2,ENSG00000113916,ENSMUSG00000022508,ortholog_one2one,94.7592,ENSMMUG00000009198,ortholog_one2one,97.5921
Bcl6b,BCL6B,Daneman,lung_only,TRUE,FALSE,FALSE,1,ENSG00000161940,ENSMUSG00000000317,ortholog_one2one,89.1441,ENSMMUG00000016268,ortholog_one2one,90.6054
Bcr,BCR,Daneman,lung_only,TRUE,TRUE,TRUE,3,ENSG00000186716,ENSMUSG00000009681,ortholog_one2one,93.9418,ENSMMUG00000023622,ortholog_one2one,98.7411
Bend5,BEND5,Munji,NA,TRUE,FALSE,FALSE,1,ENSG00000162373,ENSMUSG00000028545,ortholog_one2one,98.5748,NA,NA,NA
Bgn,BGN,Daneman,liver_and_lung,TRUE,FALSE,FALSE,1,ENSG00000182492,ENSMUSG00000031375,ortholog_one2one,95.9239,ENSMMUG00000012743,ortholog_one2one,99.1848
Bin1,BIN1,Daneman,lung_only,TRUE,FALSE,FALSE,1,ENSG00000136717,ENSMUSG00000024381,ortholog_one2one,77.2344,ENSMMUG00000000376,ortholog_one2one,85.8347
Bmp1,BMP1,Daneman,lung_only,TRUE,FALSE,FALSE,1,ENSG00000168487,ENSMUSG00000022098,ortholog_one2one,96.0446,ENSMMUG00000013031,ortholog_one2one,99.4929
