GeneSymbol_Human,HumanEnsembl,MouseEnsembl,MacaqueEnsembl,Source,Daneman_Filter,Mouse_OrthoType,Macaque_OrthoType,Human_BBB_Datasets_N,PctId_Human_Mouse,PctId_Human_Macaque,dN_Human_Mouse,dS_Human_Mouse,dNdS_Human_Mouse,dN_Human_Macaque,dS_Human_Macaque,dNdS_Human_Macaque,Gene_Set,dN_Human_Mouse_v2,dS_Human_Mouse_v2,dNdS_Human_Mouse_v2,dN_Human_Macaque_v2,dS_Human_Macaque_v2,dNdS_Human_Macaque_v2
ABHD2,ENSG00000140526,ENSMUSG00000039202,ENSMMUG00000014414,Munji,NA,ortholog_one2one,ortholog_one2one,1,91.54929577464787,97.96557120500782,0.00562957503859036,0.3952461648701523,0.01424321230400759,0.00121432968080063,0.07036650332086088,0.01725721221734537,BBB,0.005648460066388278,0.3952461648701523,0.014290992724101271,0.0012187696474618786,0.07036650332086088,0.017320309947823735
ABL2,ENSG00000143322,ENSMUSG00000026596,ENSMMUG00000006262,Daneman,lung_only,ortholog_one2one,ortholog_one2one,2,90.32348804500704,98.53479853479854,0.1801864394642379,0.5786305792986566,0.3114015157695905,0.00374877420037245,0.04037465792062597,0.09284968327762196,BBB,0.02764275336449513,0.3249320528838721,0.0850724116600907,0.003752162092286585,0.04039947112487803,0.0928765151575462
ABLIM1,ENSG00000099204,ENSMUSG00000025085,ENSMMUG00000022524,Both,liver_only,ortholog_one2one,ortholog_one2one,2,84.87654320987654,89.94895956026699,0.7214974476593781,1.6487304516562284,0.4376078860765866,2.9190498724538263,9.999999,0.29190501643588423,BBB,0.04677901439857757,0.4311377586345921,0.10850131648577041,0.055307762944241286,0.13908131888377998,0.3976649300432498
ACAA2,ENSG00000167315,ENSMUSG00000036880,ENSMMUG00000003040,Daneman,lung_only,ortholog_one2one,ortholog_one2one,1,83.66834170854271,97.65494137353434,0.06494950424926599,0.5973101472378622,0.10873664971139632,0.01176877055950478,0.06040403879112412,0.19483416663910416,BBB,0.06518798850454864,0.5973101472378622,0.1091359134044467,0.0118110784184131,0.06040403879112412,0.1955345810444159
ACACB,ENSG00000076555,ENSMUSG00000042010,ENSMMUG00000022698,Munji,NA,ortholog_one2one,ortholog_one2one,2,84.66856445709638,96.08631550730465,2.3438632581854435,9.999999,0.23438634925717927,1.5621840920755257,9.999999,0.15621842482939505,BBB,0.061798580823984386,0.5739222391395289,0.10767762008427809,0.008891937944198635,0.07585091379851504,0.11722914726932025
ACADL,ENSG00000115361,ENSMUSG00000026003,NA,Daneman,lung_only,ortholog_one2one,NA,1,83.75870069605568,NA,0.06994544430408103,0.6218148901611704,0.11248595910263844,NA,NA,NA,BBB,0.07013364532664068,0.623015207321006,0.11257132169890134,NA,NA,NA
ACAT2,ENSG00000120437,ENSMUSG00000062480,ENSMMUG00000030261,Munji,NA,ortholog_one2many,ortholog_one2many,1,85.17587939698493,94.55611390284756,0.07578022536253465,0.4815904507327422,0.15735408633463285,0.04888539632119766,0.08284884560561068,0.5900552501830763,BBB,0.07606255823689034,0.4815904507327422,0.15794033731599286,0.049071933098187644,0.08284884560561068,0.5923067815789144
ACAT2,ENSG00000120437,ENSMUSG00000062480,ENSMMUG00000012843,Munji,NA,ortholog_one2many,ortholog_one2many,1,85.17587939698493,96.90117252931324,0.07578022536253465,0.4815904507327422,0.15735408633463285,0.0203612626995794,0.06253430587378146,0.32560148249948345,BBB,0.07606255823689034,0.4815904507327422,0.15794033731599286,0.020435669927605035,0.06253430587378146,0.32679134503950774
ACAT2,ENSG00000120437,ENSMUSG00000023832,ENSMMUG00000030261,Munji,NA,ortholog_one2many,ortholog_one2many,1,86.01340033500837,94.55611390284756,0.06487963793600389,0.4704668776845782,0.13790479418086063,0.04888539632119766,0.08284884560561068,0.5900552501830763,BBB,0.06511904497749209,0.4704668776845782,0.1384136653742302,0.049071933098187644,0.08284884560561068,0.5923067815789144
ACAT2,ENSG00000120437,ENSMUSG00000023832,ENSMMUG00000012843,Munji,NA,ortholog_one2many,ortholog_one2many,1,86.01340033500837,96.90117252931324,0.06487963793600389,0.4704668776845782,0.13790479418086063,0.0203612626995794,0.06253430587378146,0.32560148249948345,BBB,0.06511904497749209,0.4704668776845782,0.1384136653742302,0.020435669927605035,0.06253430587378146,0.32679134503950774
ACBD5,ENSG00000107897,ENSMUSG00000026781,ENSMMUG00000016410,Daneman,liver_only,ortholog_one2one,ortholog_one2one,1,78.10218978102189,94.01709401709402,1.7941025076699906,9.999999,0.17941026870802593,0.7997091982030646,1.265936642808708,0.6317134453338565,BBB,0.09793175853691885,0.426101534756821,0.22983197794114768,0.0146836154928904,0.04453285750946161,0.329725427787127
ACE,ENSG00000159640,ENSMUSG00000020681,ENSMMUG00000012608,Daneman,liver_only,ortholog_one2one,ortholog_one2one,1,84.006092916984,96.55963302752292,2.1238063549657773,9.999999,0.21238065673464335,2.1781553486484575,9.999999,0.2178155566464014,BBB,0.09100485859281002,0.44803142534992235,0.20312159693203044,0.010436916147279204,0.09587170737747987,0.10886335951216011
ACE2,ENSG00000130234,ENSMUSG00000015405,ENSMMUG00000014048,Daneman,liver_and_lung,ortholog_one2one,ortholog_one2one,0,85.23573200992556,96.98097601323408,0.09950574525618432,0.37025071402832926,0.2687523385804214,0.02333749099889784,0.05187101484936522,0.44991390792469593,BBB,0.09964859242629706,0.37066982061461323,0.26883384317900016,0.02336873919484612,0.05191440660093076,0.450139772847315
ACOT2,ENSG00000119673,ENSMUSG00000042540,NA,Munji,NA,ortholog_many2many,NA,1,69.49035812672176,NA,2.4519347835952248,9.999999,0.24519350287887273,NA,NA,NA,BBB,0.15556221966756512,0.4727721392865717,0.32904269676786263,NA,NA,NA
ACOT2,ENSG00000119673,ENSMUSG00000021226,NA,Munji,NA,ortholog_many2many,NA,1,74.86225895316804,NA,2.9824270184326283,2.0785190698401346,1.4348807579918024,NA,NA,NA,BBB,0.16401414221124158,0.45431078084022736,0.3610174997562347,NA,NA,NA
ACOT2,ENSG00000119673,ENSMUSG00000072949,NA,Munji,NA,ortholog_many2many,NA,1,70.11019283746556,NA,2.3523145593327004,9.999999,0.235231479456418,NA,NA,NA,BBB,0.1519480019333703,0.4414314170267445,0.3442165556697665,NA,NA,NA
ACOT2,ENSG00000119673,ENSMUSG00000021228,NA,Munji,NA,ortholog_many2many,NA,1,73.278236914600555,NA,9.999999,9.999999,1,NA,NA,NA,BBB,0.1519433260847689,0.3881194218702431,0.39148601570257646,NA,NA,NA
ACOT7,ENSG00000097021,ENSMUSG00000028937,ENSMMUG00000004094,Daneman,lung_only,ortholog_one2one,ortholog_one2one,1,85.1948051948052,71.15677321156774,2.220608865515877,9.999999,0.22206090875767856,9.999999,9.999999,1,BBB,0.06228324031511077,0.5013835113669414,0.12422275344736716,0.07848110870281137,0.23774736022333626,0.3301029657241511
ACSL3,ENSG00000123983,ENSMUSG00000032883,ENSMMUG00000005393,Munji,NA,ortholog_one2one,ortholog_one2one,1,88.90429958391124,97.64216366158114,0.03612989853483752,0.3953991291252069,0.09137576659506665,0.00646951906060085,0.07070205209260022,0.09150397858505666,BBB,0.036185732912817015,0.39586625195747693,0.09140898658040697,0.0064792290263876035,0.07076675870351937,0.09155752142800033
ACSL6,ENSG00000164398,ENSMUSG00000020333,ENSMMUG00000016909,Daneman,liver_only,ortholog_one2one,ortholog_one2one,1,88.427846934071,94.01826484018264,0.04558188875284746,0.3930184064765203,0.11597901778061027,2.2598483762670125,9.999999,0.22598486022518727,BBB,0.04567285026968189,0.3930184064765203,0.11621046118207819,0.03503935518179362,0.10314402564063019,0.33971289140755645
ACTL6A,ENSG00000136518,ENSMUSG00000027671,ENSMMUG00000009742,Daneman,lung_only,ortholog_one2one,ortholog_one2one,1,88.6046511627907,98.9922480620155,0.00594838677834672,0.5847691143205075,0.01017219725302807,0,0.03317893225919548,0,BBB,0.005967932688040335,0.5847691143205075,0.010205622256529365,0,0.03317893225919548,0
ACVRL1,ENSG00000139567,ENSMUSG00000000530,ENSMMUG00000004982,Daneman,liver_only,ortholog_one2one,ortholog_one2one,2,82.7874116891458,94.72329472329471,9.999999,9.999999,1,9.999999,9.999999,1,BBB,0.06255592185356,0.4958901515597706,0.1261487481790007,0.006905362532062817,0.07523512377102053,0.09178375984439681
ADAMTS4,ENSG00000158859,ENSMUSG00000006403,ENSMMUG00000050419,Daneman,lung_only,ortholog_one2one,ortholog_one2one,1,85.50039401103231,97.9315831344471,2.8566678757814845,9.999999,0.28566681614483,0.0047977833830701,0.05773404030853209,0.08310146591907705,BBB,0.05314379617786984,0.41142385491576455,0.12917042982048418,0.004803953307936608,0.05778319751494285,0.08313754715104328
ADAMTS9,ENSG00000163638,ENSMUSG00000030022,ENSMMUG00000000265,Daneman,lung_only,ortholog_one2one,ortholog_one2one,2,86.39807162534436,98.08884297520662,0.338579418500541,0.8596874996750001,0.393840108909969,0.00421231888105877,0.05489635369770107,0.07673221620974767,BBB,0.05723675476455986,0.46984393813050507,0.12182077945349937,0.004214659717350355,0.05439360147866647,0.07748447616588457
ADAMTSL2,ENSG00000197859,ENSMUSG00000036040,ENSMMUG00000017203,Daneman,lung_only,ortholog_one2one,ortholog_one2one,1,75.68664169787765,86.14232209737828,2.924178566698134,9.999999,0.292417885911602,9.999999,9.999999,1,BBB,0.06356512092416233,0.5828458031973149,0.10905992730060575,0.009975174163275728,0.09617826101148709,0.103715476432708
ADCY9,ENSG00000162104,ENSMUSG00000005580,ENSMMUG00000039943,Both,liver_only,ortholog_one2one,ortholog_one2one,1,86.77991137370753,96.23695071619323,0.04272358294448288,0.526576675691685,0.0811345904912391,0.4773106468983744,0.6552938647386842,0.7283917530476417,BBB,0.04276990168138121,0.526576675691685,0.08122255249000687,0.006251768776309955,0.067058679629626,0.09322833093104882
ADH1C,ENSG00000248144,ENSMUSG00000074207,NA,Daneman,lung_only,ortholog_one2many,NA,1,82.26950354609929,NA,0.0854862183268002,0.6530523547100111,0.13090254971174628,NA,NA,NA,BBB,0.08580859600828185,0.6530523547100111,0.13139619724116192,NA,NA,NA
ADIPOR1,ENSG00000159346,ENSMUSG00000026457,ENSMMUG00000007046,Daneman,lung_only,ortholog_one2one,ortholog_one2one,1,90.95744680851064,98.67021276595744,0.01745984336414623,0.3281471327671467,0.05320736224910348,0.00377965755668802,0.03461412607061064,0.10919407726711795,BBB,0.017526385025985122,0.3281471327671467,0.05341014220722096,0.0037941691945031896,0.034614126070610644,0.10961331760227956
ADIPOR2,ENSG00000285070,NA,NA,Daneman,liver_only,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,BBB,NA,NA,NA,NA,NA,NA
ADK,ENSG00000156110,ENSMUSG00000039197,ENSMMUG00000022237,Daneman,liver_only,ortholog_one2one,ortholog_one2one,1,89.4398530762167,96.71232876712328,1.958768045475889,9.999999,0.1958768241352713,0.2652858316428338,0.4283708584455933,0.6192900997174797,BBB,0.04183904782072812,0.3341048933236659,0.1252272823798373,0.021053898470412884,0.072334487753582,0.29106307550191085
ADM,ENSG00000148926,ENSMUSG00000030790,ENSMMUG00000016387,Daneman,lung_only,ortholog_one2one,ortholog_one2one,1,72.19251336898395,77.67295597484276,0.6303921700564301,0.936278355289093,0.6732956780377403,3.078387574002864,2.980284019052979,1.0329175187071795,BBB,0.24390696392340355,0.6335881560765406,0.3849613689652658,0.13268347402735056,0.22493139566378068,0.5898841895138597
AGPAT5,ENSG00000284980,NA,NA,Daneman,lung_only,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,BBB,NA,NA,NA,NA,NA,NA
AGR2,ENSG00000106541,ENSMUSG00000020581,ENSMMUG00000017050,Munji,NA,ortholog_one2one,ortholog_one2one,0,79.7153024911032,88.25622775800711,0.11560418104124633,0.46911314695869766,0.24643133919976137,0.07902290172198238,0.14806453147305204,0.5337058168881227,BBB,0.1138831270012598,0.4690844614237213,0.24277744493094566,0.07702212435639906,0.1481019136382874,0.5200616417726506
AGRN,ENSG00000188157,ENSMUSG00000041936,ENSMMUG00000000838,Munji,NA,ortholog_one2one,ortholog_one2one,2,79.81770833333333,94.296761720638,2.066572233974844,9.999999,0.20665724406320876,9.999999,9.999999,1,BBB,0.10913727099935841,0.6407266730587585,0.1703335846443681,0.020885188389629085,0.11373451408924845,0.18363105128527915
AHNAK,ENSG00000124942,ENSMUSG00000069833,ENSMMUG00000022301,Daneman,liver_only,ortholog_one2one,ortholog_one2one,1,78.39026039905309,92.78827397871036,1.971701417449639,9.999999,0.19717016146198,2.7840198291208855,9.999999,0.2784020107522896,BBB,0.08489935842153201,0.5324782818277846,0.15944191776255462,0.030113075832466724,0.11438141436077232,0.2632689585170417
AKR1B1,ENSG00000085662,ENSMUSG00000001642,ENSMMUG00000000917,Daneman,liver_and_lung,ortholog_one2one,ortholog_one2one,1,85.8044164037855,75.45304777594728,0.07345491727600595,0.47451124172397585,0.154801216108458,2.168785301638857,9.999999,0.21687855185174088,BBB,0.07376814698076954,0.47451124172397585,0.15546132629599663,0.04750096308245408,0.10375819829160352,0.4578044324647648
ALAS1,ENSG00000023330,ENSMUSG00000032786,ENSMMUG00000005596,Munji,NA,ortholog_one2one,ortholog_one2one,1,87.24727838258165,98.33593343733747,1.4237825200570458,2.209436492282501,0.6444097963577037,0.00385190657957509,0.0519989318472249,0.07407664816831541,BBB,0.04072270213716926,0.47354577638502315,0.08599528106456827,0.0038609140106223767,0.051998931847224907,0.07424987155439862
ALAS2,ENSG00000158578,ENSMUSG00000025270,ENSMMUG00000008429,Munji,NA,ortholog_one2one,ortholog_one2one,1,87.41496598639456,98.3560090702948,0.0545975583225597,0.4028305365996198,0.13553480523951725,0.00905956655099737,0.03897864578283135,0.23242384051699855,BBB,0.053765106712843194,0.4031279960802417,0.13336981612693893,0.009082253726507922,0.03897864578283135,0.2330058816591396
ALDH1A1,ENSG00000165092,ENSMUSG00000053279,ENSMMUG00000013303,Daneman,liver_only,ortholog_one2many,ortholog_one2one,1,84.59495351925631,91.47727272727272,0.06974014520681968,0.5965008668768408,0.11691541300177,2.4514095271909104,9.999999,0.24514097723318876,BBB,0.069901718486018,0.5972736739441846,0.11703465519317421,0.023070728065772976,0.09704762822640803,0.23772583099042813
ALDH1A1,ENSG00000165092,ENSMUSG00000024747,ENSMMUG00000013303,Daneman,liver_only,ortholog_one2many,ortholog_one2one,1,83.53253652058433,91.47727272727272,0.08335840037732353,0.606283015106371,0.13749090490799662,2.4514095271909104,9.999999,0.24514097723318876,BBB,0.08355369695889564,0.6070792665988436,0.1376322690560732,0.023070728065772976,0.09704762822640803,0.23772583099042813
ALDH2,ENSG00000111275,ENSMUSG00000029455,NA,Daneman,liver_only,ortholog_one2one,NA,1,86.21794871794872,NA,2.466036601506888,2.4728661420958975,0.9972382085415992,NA,NA,NA,BBB,0.024806664902527087,0.5946657719577387,0.04171530643315726,NA,NA,NA
ALDH4A1,ENSG00000159423,ENSMUSG00000028737,ENSMMUG00000004751,Munji,NA,ortholog_one2one,ortholog_one2one,1,86.64302600472813,96.6903073286052,2.2975116079354256,9.999999,0.2297511837686609,0.01160311370403962,0.09429517623237418,0.12305097850865404,BBB,0.042169834290479935,0.5200115031396728,0.08109404125845521,0.01163388250111803,0.09429517623237418,0.12337728148944052
ALDH5A1,ENSG00000112294,ENSMUSG00000035936,ENSMMUG00000019368,Munji,NA,ortholog_one2one,ortholog_one2one,1,78.68852459016394,94.29265330904676,2.0197983672536135,9.999999,0.20197985692334705,0.5835938247529185,0.7264925690001993,0.8033032265643978,BBB,0.08300138980805874,0.6473982016772164,0.1282076310886048,0.017914002871548783,0.07371152781006747,0.2430285113301111
ALDH6A1,ENSG00000119711,ENSMUSG00000021238,ENSMMUG00000012684,Daneman,liver_only,ortholog_one2one,ortholog_one2one,1,90.33457249070632,98.3271375464684,0.05010244339322294,0.3865874393751757,0.129601839817148,2.322599092270119,9.999999,0.2322599324530051,BBB,0.02376605294308665,0.33319631285600543,0.07132747880483725,0.009711059541761193,0.022279784774910695,0.4358686423531718
ALG6,ENSG00000088035,ENSMUSG00000073792,ENSMMUG00000020046,Munji,NA,ortholog_one2one,ortholog_one2one,1,85.498687664042,97.44094488188976,0.08596701168029902,0.4135710700121974,0.20786514800893496,0.01187174219216346,0.05847304039312931,0.203029329625186,BBB,0.08616462375889067,0.4141690593716193,0.20804215527258443,0.011897504158278489,0.058557226227657744,0.2031773860329993
ALOX12,ENSG00000108839,ENSMUSG00000000320,ENSMMUG00000016264,Daneman,liver_only,ortholog_one2one,ortholog_one2one,0,85.4417670682731,96.93775100401606,0.08276804238590425,0.4300273693565237,0.19247156875097313,0.02013302407003533,0.05746261740046121,0.3503673341178807,BBB,0.0829561609261415,0.43002736935652364,0.19290902588426848,0.020178313194904502,0.05746261740046121,0.35115548347337455
ALS2CL,ENSG00000178038,ENSMUSG00000044037,ENSMMUG00000021247,Daneman,liver_only,ortholog_one2one,ortholog_one2one,1,82.49475890985325,96.33123689727464,0.29269212789552546,0.651678588738977,0.4491357134533082,0.0165385446097978,0.08210288283129567,0.2014368319292889,BBB,0.10732127875862416,0.49050106187353204,0.21879927914670907,0.01655786588770746,0.08216913458738094,0.20150955673141924
AMD1,ENSG00000123505,ENSMUSG00000075232,ENSMMUG00000000535,Daneman,liver_only,ortholog_one2many,ortholog_one2one,1,93.893678160919535,99.50248756218906,0.2016952084871856,0.4458503516440362,0.4523831993031995,0.00266086812730196,0.00888728234484726,0.29940177706233234,BBB,0.035716362442100816,0.14106983172662985,0.25318214394210986,0.0026717090569357985,0.00888728234484726,0.30062160211268896
AMD1,ENSG00000123505,ENSMUSG00000063953,ENSMMUG00000000535,Daneman,liver_only,ortholog_one2many,ortholog_one2one,1,95.82089552238806,99.50248756218906,0.00917122969795499,0.13551728013358222,0.06767572142028475,0.00266086812730196,0.00888728234484726,0.29940177706233234,BBB,0.009208104706911234,0.13551728013358222,0.06794782700652355,0.0026717090569357985,0.00888728234484726,0.30062160211268896
AMOT,ENSG00000126016,ENSMUSG00000041688,ENSMMUG00000007688,Both,liver_only,ortholog_one2one,ortholog_one2one,1,80.7413843035042,96.42749016046018,1.3892570722940598,2.9694970304703285,0.4678425531457831,0.5787002344947827,0.8412493735486889,0.68790569442402,BBB,0.05789201373828731,0.4031959744910063,0.14358281679614995,0.009654795299948124,0.04569814962751664,0.2112732217528255
AMPD3,ENSG00000133805,ENSMUSG00000005686,ENSMMUG00000015785,Daneman,liver_only,ortholog_one2one,ortholog_one2one,1,88.15958815958815,97.29729729729728,0.986349961161827,1.3847460508206817,0.7122966413785822,0.00740395572271333,0.07772279523611944,0.0952610582290607,BBB,0.028073895949592892,0.4805781082329207,0.05841692634069461,0.007414276005197607,0.07779279878293667,0.09530799921321097
ANGPT2,ENSG00000091879,ENSMUSG00000031465,ENSMMUG00000010139,Daneman,lung_only,ortholog_one2one,ortholog_one2one,1,80.61703554661301,97.92085848423876,0.08158349530943892,0.9359082778292034,0.08717039611901727,0.00460158514200206,0.06082814547199276,0.07564894682052704,BBB,0.08177004542921898,0.9380994474422648,0.08716564715197905,0.00461140668160487,0.060930542487575026,0.07568300713136157
ANGPTL4,ENSG00000167772,ENSMUSG00000002289,ENSMMUG00000000698,Daneman,lung_only,ortholog_one2one,ortholog_one2one,1,76.88564476885645,79.59183673469387,1.1264428415385013,2.311290347108764,0.4873653554377491,2.433005386452056,9.999999,0.24330056297526187,BBB,0.14535379132619614,0.7407167430609095,0.19623397565652653,0.025371103759099074,0.09879968390003682,0.2567933697517591
ANKRD12,ENSG00000101745,ENSMUSG00000034647,ENSMMUG00000049523,Daneman,liver_only,ortholog_one2one,ortholog_one2one,1,83.33333333333333,97.9964453061884,1.0626031853100812,9.999999,0.10626032915704103,0.6458857287395663,0.98206682735991,0.6576800180451068,BBB,0.09882706906371093,0.46552167485773227,0.21229316356518393,0.00919230589020822,0.040435813603808914,0.2273308008656548
ANKRD46,ENSG00000186106,ENSMUSG00000048307,ENSMMUG00000009958,Daneman,liver_only,ortholog_one2one,ortholog_one2one,1,83.54792560801144,96.99570815450645,0.06471773379207799,0.6768944514411697,0.0956097862145096,0.02013676383395652,0.0974492254632958,0.20663852111929845,BBB,0.0563674200068371,0.6760290709136935,0.08338017169979567,0.006356998917400321,0.07409010502949863,0.08580091653088238
ANKRD6,ENSG00000135299,ENSMUSG00000040183,ENSMMUG00000003462,Both,liver_only,ortholog_one2one,ortholog_one2one,1,76.56458055925432,83.13204508856683,2.412007798627765,9.999999,0.24120080398285687,2.242244630439545,9.999999,0.22422448546640303,BBB,0.1486720168319498,0.6024722591217844,0.24676989617524794,0.09657675744768446,0.21539867104358612,0.4483628287016778
ANKS1A,ENSG00000064999,ENSMUSG00000024219,ENSMMUG00000021718,Daneman,liver_only,ortholog_one2one,ortholog_one2one,2,85.77405857740585,91.51712887438823,1.6976539789956604,9.999999,0.16976541487610752,1.9754732230435552,9.999999,0.19754734205908972,BBB,0.06513069974705973,0.4596260730252414,0.1417036664573268,0.008745046035748105,0.07488648740258089,0.11677735649070804
ANLN,ENSG00000011426,ENSMUSG00000036777,ENSMMUG00000021186,Daneman,lung_only,ortholog_one2one,ortholog_one2one,1,82.68321513002364,95.9895379250218,1.9398380633288543,9.999999,0.193983825731268,0.5419758684531046,0.6665747239030249,0.8130759373527533,BBB,0.11123706618586915,0.46103739286724854,0.24127558394791382,0.013210770724238909,0.04469622809433564,0.29556791003384714
ANTXR2,ENSG00000163297,ENSMUSG00000029338,ENSMMUG00000003333,Daneman,lung_only,ortholog_one2one,ortholog_one2one,1,79.12652536929994,88.37209302325581,0.2131850775248063,0.7308690670226401,0.291687098474784,1.991409471182788,9.999999,0.1991409670323755,BBB,0.12925544593027394,0.5951189235750539,0.2171926329510723,0.06620056765571242,0.15657376532771036,0.4228075343091737
ANXA6,ENSG00000197043,ENSMUSG00000018340,ENSMMUG00000021053,Daneman,lung_only,ortholog_one2one,ortholog_one2one,2,89.36696340257171,98.0217606330366,0.03055669099987751,0.4182699445733178,0.07305495265993535,0.00464978163424784,0.05766542470895747,0.08063378805784763,BBB,0.03060729693512296,0.41650043917700474,0.07348682991932079,0.004657447149627389,0.05772330288622287,0.08068573551322211
ANXA9,ENSG00000143412,ENSMUSG00000015702,ENSMMUG00000023231,Munji,NA,ortholog_one2one,ortholog_one2one,1,79.67244701348747,96.24277456647398,0.13373537272489727,0.554789105106272,0.2410562346917028,0.0304798628738256,0.06086508640530252,0.5007774518031444,BBB,0.13436702039611187,0.554789105106272,0.24219477123721336,0.030615748502789662,0.060865086405302526,0.5030100228383548
AOX1,ENSG00000138356,ENSMUSG00000063558,ENSMMUG00000021931,Daneman,liver_only,ortholog_one2one,ortholog_one2one,0,83.86855862584018,96.76375404530744,2.8498727382836666,9.999999,0.28498730232709685,0.02106125244285891,0.05664117499499797,0.3718364325019536,BBB,0.09786717341825957,0.46438040707195904,0.21074785225185944,0.021083993270195566,0.056641174994997975,0.37223792183085025
AP1S1,ENSG00000106367,ENSMUSG00000004849,ENSMMUG00000010162,Daneman,lung_only,ortholog_one2one,ortholog_one2one,1,75.42087542087542,76.13240418118467,1.8152705236748057,9.999999,0.1815270705201876,9.999999,9.999999,1,BBB,0.12230083437648734,0.634445452718438,0.19276808408423332,0,0.08322223214878376,0
AP2S1,ENSG00000042753,ENSMUSG00000008036,ENSMMUG00000000833,Daneman,lung_only,ortholog_one2one,ortholog_one2one,1,82.38993710691824,60.58091286307054,1.69351914613717,9.999999,0.16935193154891015,9.999999,9.999999,1,BBB,0,0.3984356322462416,0,0.07412129635359113,0.2613727620068571,0.2835846236787541
AP3M1,ENSG00000185009,ENSMUSG00000021824,ENSMMUG00000020825,Daneman,liver_only,ortholog_one2one,ortholog_one2one,1,92.91964996022276,98.80668257756564,0.00244349906279825,0.3067054114409369,0.00796692517200273,9.336023266021384e-4,0.03628638209155311,0.02572872446325989,BBB,0.002452488059165321,0.3067054114409369,0.007996233413826164,9.362248535155434e-4,0.03628638209155311,0.025800997496895166
