GeneSymbol_Human,HumanEnsembl,MouseEnsembl,MacaqueEnsembl,Source,Daneman_Filter,Mouse_OrthoType,Macaque_OrthoType,Human_BBB_Datasets_N,PctId_Human_Mouse,PctId_Human_Macaque,dN_Human_Mouse,dS_Human_Mouse,dNdS_Human_Mouse,dN_Human_Macaque,dS_Human_Macaque,dNdS_Human_Macaque,Gene_Set
ACOT2,ENSG00000119673,ENSMUSG00000021228,NA,Munji,NA,ortholog_many2many,NA,1,73.278236914600555,NA,9.999999,9.999999,1,NA,NA,NA,BBB
ACOT7,ENSG00000097021,ENSMUSG00000028937,ENSMMUG00000004094,Daneman,lung_only,ortholog_one2one,ortholog_one2one,1,85.1948051948052,71.15677321156774,2.220608865515877,9.999999,0.22206090875767856,9.999999,9.999999,1,BBB
ACSL3,ENSG00000123983,ENSMUSG00000032883,ENSMMUG00000005393,Munji,NA,ortholog_one2one,ortholog_one2one,1,88.90429958391124,97.64216366158114,0.03612989853483752,0.3953991291252069,0.09137576659506663,0.006469519060600851,0.07070205209260022,0.09150397858505666,BBB
ACSL6,ENSG00000164398,ENSMUSG00000020333,ENSMMUG00000016909,Daneman,liver_only,ortholog_one2one,ortholog_one2one,1,88.427846934071,94.01826484018265,0.045581888752847466,0.3930184064765203,0.11597901778061027,2.2598483762670125,9.999999,0.22598486022518727,BBB
ACTL6A,ENSG00000136518,ENSMUSG00000027671,ENSMMUG00000009742,Daneman,lung_only,ortholog_one2one,ortholog_one2one,1,88.6046511627907,98.9922480620155,0.005948386778346729,0.5847691143205075,0.010172197253028079,0,0.03317893225919548,0,BBB
ACVRL1,ENSG00000139567,ENSMUSG00000000530,ENSMMUG00000004982,Daneman,liver_only,ortholog_one2one,ortholog_one2one,2,82.7874116891458,94.72329472329473,9.999999,9.999999,1,9.999999,9.999999,1,BBB
ADAMTS4,ENSG00000158859,ENSMUSG00000006403,ENSMMUG00000050419,Daneman,lung_only,ortholog_one2one,ortholog_one2one,1,85.50039401103231,97.9315831344471,2.8566678757814845,9.999999,0.28566681614483,0.0047977833830701,0.05773404030853209,0.08310146591907705,BBB
ADAMTS9,ENSG00000163638,ENSMUSG00000030022,ENSMMUG00000000265,Daneman,lung_only,ortholog_one2one,ortholog_one2one,2,86.39807162534436,98.08884297520662,0.338579418500541,0.8596874996750001,0.393840108909969,0.004212318881058779,0.05489635369770107,0.07673221620974767,BBB
ADAMTSL2,ENSG00000197859,ENSMUSG00000036040,ENSMMUG00000017203,Daneman,lung_only,ortholog_one2one,ortholog_one2one,1,75.68664169787765,86.14232209737828,2.924178566698134,9.999999,0.292417885911602,9.999999,9.999999,1,BBB
ADCY9,ENSG00000162104,ENSMUSG00000005580,ENSMMUG00000039943,Both,liver_only,ortholog_one2one,ortholog_one2one,1,86.77991137370753,96.23695071619325,0.04272358294448288,0.526576675691685,0.0811345904912391,0.4773106468983744,0.6552938647386842,0.7283917530476417,BBB
ADH1C,ENSG00000248144,ENSMUSG00000074207,NA,Daneman,lung_only,ortholog_one2many,NA,1,82.26950354609929,NA,0.0854862183268002,0.6530523547100111,0.13090254971174628,NA,NA,NA,BBB
ADIPOR1,ENSG00000159346,ENSMUSG00000026457,ENSMMUG00000007046,Daneman,lung_only,ortholog_one2one,ortholog_one2one,1,90.95744680851064,98.67021276595744,0.01745984336414623,0.3281471327671467,0.05320736224910348,0.0037796575566880213,0.034614126070610644,0.10919407726711797,BBB
ADIPOR2,ENSG00000285070,NA,NA,Daneman,liver_only,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,BBB
ADK,ENSG00000156110,ENSMUSG00000039197,ENSMMUG00000022237,Daneman,liver_only,ortholog_one2one,ortholog_one2one,1,89.4398530762167,96.71232876712328,1.958768045475889,9.999999,0.1958768241352713,0.2652858316428338,0.42837085844559325,0.6192900997174797,BBB
ADM,ENSG00000148926,ENSMUSG00000030790,ENSMMUG00000016387,Daneman,lung_only,ortholog_one2one,ortholog_one2one,1,72.19251336898395,77.67295597484276,0.6303921700564301,0.936278355289093,0.6732956780377403,3.078387574002864,2.980284019052979,1.0329175187071797,BBB
AGPAT5,ENSG00000284980,NA,NA,Daneman,lung_only,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,BBB
AGR2,ENSG00000106541,ENSMUSG00000020581,ENSMMUG00000017050,Munji,NA,ortholog_one2one,ortholog_one2one,0,79.7153024911032,88.25622775800711,0.11560418104124631,0.46911314695869766,0.24643133919976135,0.07902290172198238,0.14806453147305204,0.5337058168881227,BBB
AGRN,ENSG00000188157,ENSMUSG00000041936,ENSMMUG00000000838,Munji,NA,ortholog_one2one,ortholog_one2one,2,79.81770833333333,94.29676172063799,2.066572233974844,9.999999,0.20665724406320876,9.999999,9.999999,1,BBB
AHNAK,ENSG00000124942,ENSMUSG00000069833,ENSMMUG00000022301,Daneman,liver_only,ortholog_one2one,ortholog_one2one,1,78.39026039905309,92.78827397871036,1.971701417449639,9.999999,0.19717016146198002,2.7840198291208855,9.999999,0.2784020107522896,BBB
AKR1B1,ENSG00000085662,ENSMUSG00000001642,ENSMMUG00000000917,Daneman,liver_and_lung,ortholog_one2one,ortholog_one2one,1,85.8044164037855,75.45304777594728,0.07345491727600595,0.47451124172397585,0.154801216108458,2.168785301638857,9.999999,0.21687855185174088,BBB
ALAS1,ENSG00000023330,ENSMUSG00000032786,ENSMMUG00000005596,Munji,NA,ortholog_one2one,ortholog_one2one,1,87.24727838258165,98.33593343733749,1.4237825200570458,2.209436492282501,0.6444097963577037,0.0038519065795750906,0.051998931847224907,0.07407664816831541,BBB
ALAS2,ENSG00000158578,ENSMUSG00000025270,ENSMMUG00000008429,Munji,NA,ortholog_one2one,ortholog_one2one,1,87.41496598639456,98.35600907029479,0.054597558322559706,0.40283053659961987,0.13553480523951725,0.00905956655099737,0.03897864578283135,0.23242384051699855,BBB
ALDH1A1,ENSG00000165092,ENSMUSG00000053279,ENSMMUG00000013303,Daneman,liver_only,ortholog_one2many,ortholog_one2one,1,84.59495351925631,91.47727272727273,0.06974014520681968,0.5965008668768408,0.11691541300177001,2.4514095271909104,9.999999,0.24514097723318876,BBB
ALDH1A1,ENSG00000165092,ENSMUSG00000024747,ENSMMUG00000013303,Daneman,liver_only,ortholog_one2many,ortholog_one2one,1,83.53253652058433,91.47727272727273,0.08335840037732353,0.606283015106371,0.13749090490799662,2.4514095271909104,9.999999,0.24514097723318876,BBB
ALDH2,ENSG00000111275,ENSMUSG00000029455,NA,Daneman,liver_only,ortholog_one2one,NA,1,86.21794871794872,NA,2.466036601506888,2.4728661420958975,0.9972382085415991,NA,NA,NA,BBB
ALDH4A1,ENSG00000159423,ENSMUSG00000028737,ENSMMUG00000004751,Munji,NA,ortholog_one2one,ortholog_one2one,1,86.64302600472813,96.6903073286052,2.2975116079354256,9.999999,0.2297511837686609,0.011603113704039622,0.09429517623237418,0.12305097850865405,BBB
ALDH5A1,ENSG00000112294,ENSMUSG00000035936,ENSMMUG00000019368,Munji,NA,ortholog_one2one,ortholog_one2one,1,78.68852459016394,94.29265330904676,2.0197983672536135,9.999999,0.20197985692334702,0.5835938247529185,0.7264925690001993,0.8033032265643978,BBB
ALDH6A1,ENSG00000119711,ENSMUSG00000021238,ENSMMUG00000012684,Daneman,liver_only,ortholog_one2one,ortholog_one2one,1,90.33457249070632,98.3271375464684,0.05010244339322294,0.3865874393751757,0.129601839817148,2.322599092270119,9.999999,0.23225993245300514,BBB
ALG6,ENSG00000088035,ENSMUSG00000073792,ENSMMUG00000020046,Munji,NA,ortholog_one2one,ortholog_one2one,1,85.498687664042,97.44094488188976,0.08596701168029902,0.4135710700121974,0.20786514800893496,0.011871742192163469,0.05847304039312931,0.20302932962518602,BBB
ALOX12,ENSG00000108839,ENSMUSG00000000320,ENSMMUG00000016264,Daneman,liver_only,ortholog_one2one,ortholog_one2one,0,85.4417670682731,96.93775100401606,0.08276804238590425,0.43002736935652364,0.19247156875097313,0.020133024070035338,0.05746261740046121,0.3503673341178807,BBB
ALS2CL,ENSG00000178038,ENSMUSG00000044037,ENSMMUG00000021247,Daneman,liver_only,ortholog_one2one,ortholog_one2one,1,82.49475890985325,96.33123689727464,0.29269212789552546,0.651678588738977,0.4491357134533082,0.016538544609797808,0.08210288283129567,0.20143683192928893,BBB
AMD1,ENSG00000123505,ENSMUSG00000075232,ENSMMUG00000000535,Daneman,liver_only,ortholog_one2many,ortholog_one2one,1,93.893678160919535,99.50248756218906,0.20169520848718558,0.4458503516440362,0.4523831993031995,0.0026608681273019613,0.00888728234484726,0.29940177706233234,BBB
AMD1,ENSG00000123505,ENSMUSG00000063953,ENSMMUG00000000535,Daneman,liver_only,ortholog_one2many,ortholog_one2one,1,95.82089552238806,99.50248756218906,0.009171229697954999,0.13551728013358222,0.06767572142028475,0.0026608681273019613,0.00888728234484726,0.29940177706233234,BBB
AMOT,ENSG00000126016,ENSMUSG00000041688,ENSMMUG00000007688,Both,liver_only,ortholog_one2one,ortholog_one2one,1,80.7413843035042,96.42749016046018,1.3892570722940598,2.9694970304703285,0.4678425531457831,0.5787002344947827,0.8412493735486889,0.68790569442402,BBB
AMPD3,ENSG00000133805,ENSMUSG00000005686,ENSMMUG00000015785,Daneman,liver_only,ortholog_one2one,ortholog_one2one,1,88.15958815958815,97.29729729729729,0.986349961161827,1.3847460508206817,0.7122966413785822,0.007403955722713336,0.07772279523611944,0.0952610582290607,BBB
ANGPT2,ENSG00000091879,ENSMUSG00000031465,ENSMMUG00000010139,Daneman,lung_only,ortholog_one2one,ortholog_one2one,1,80.61703554661301,97.92085848423876,0.08158349530943892,0.9359082778292034,0.08717039611901727,0.004601585142002064,0.060828145471992764,0.07564894682052704,BBB
ANGPTL4,ENSG00000167772,ENSMUSG00000002289,ENSMMUG00000000698,Daneman,lung_only,ortholog_one2one,ortholog_one2one,1,76.88564476885645,79.59183673469387,1.1264428415385013,2.311290347108764,0.4873653554377491,2.4330053864520558,9.999999,0.24330056297526187,BBB
ANKRD12,ENSG00000101745,ENSMUSG00000034647,ENSMMUG00000049523,Daneman,liver_only,ortholog_one2one,ortholog_one2one,1,83.33333333333333,97.9964453061884,1.0626031853100812,9.999999,0.10626032915704103,0.6458857287395663,0.9820668273599099,0.6576800180451068,BBB
ANKRD46,ENSG00000186106,ENSMUSG00000048307,ENSMMUG00000009958,Daneman,liver_only,ortholog_one2one,ortholog_one2one,1,83.54792560801144,96.99570815450643,0.06471773379207799,0.6768944514411697,0.0956097862145096,0.020136763833956524,0.09744922546329579,0.20663852111929845,BBB
ANKRD6,ENSG00000135299,ENSMUSG00000040183,ENSMMUG00000003462,Both,liver_only,ortholog_one2one,ortholog_one2one,1,76.56458055925432,83.13204508856683,2.412007798627765,9.999999,0.24120080398285687,2.242244630439545,9.999999,0.22422448546640303,BBB
ANKS1A,ENSG00000064999,ENSMUSG00000024219,ENSMMUG00000021718,Daneman,liver_only,ortholog_one2one,ortholog_one2one,2,85.77405857740585,91.51712887438825,1.6976539789956604,9.999999,0.16976541487610752,1.9754732230435552,9.999999,0.19754734205908972,BBB
ANLN,ENSG00000011426,ENSMUSG00000036777,ENSMMUG00000021186,Daneman,lung_only,ortholog_one2one,ortholog_one2one,1,82.68321513002364,95.98953792502179,1.9398380633288546,9.999999,0.19398382573126802,0.5419758684531046,0.6665747239030249,0.8130759373527533,BBB
ANTXR2,ENSG00000163297,ENSMUSG00000029338,ENSMMUG00000003333,Daneman,lung_only,ortholog_one2one,ortholog_one2one,1,79.12652536929994,88.37209302325581,0.21318507752480634,0.7308690670226401,0.291687098474784,1.991409471182788,9.999999,0.1991409670323755,BBB
ANXA6,ENSG00000197043,ENSMUSG00000018340,ENSMMUG00000021053,Daneman,lung_only,ortholog_one2one,ortholog_one2one,2,89.36696340257171,98.02176063303659,0.03055669099987751,0.41826994457331773,0.07305495265993535,0.0046497816342478465,0.05766542470895747,0.08063378805784763,BBB
ANXA9,ENSG00000143412,ENSMUSG00000015702,ENSMMUG00000023231,Munji,NA,ortholog_one2one,ortholog_one2one,1,79.67244701348747,96.24277456647398,0.13373537272489727,0.554789105106272,0.2410562346917028,0.030479862873825606,0.060865086405302526,0.5007774518031444,BBB
AOX1,ENSG00000138356,ENSMUSG00000063558,ENSMMUG00000021931,Daneman,liver_only,ortholog_one2one,ortholog_one2one,0,83.86855862584018,96.76375404530744,2.8498727382836666,9.999999,0.28498730232709685,0.02106125244285891,0.056641174994997975,0.37183643250195364,BBB
AP1S1,ENSG00000106367,ENSMUSG00000004849,ENSMMUG00000010162,Daneman,lung_only,ortholog_one2one,ortholog_one2one,1,75.42087542087542,76.13240418118467,1.8152705236748057,9.999999,0.1815270705201876,9.999999,9.999999,1,BBB
AP2S1,ENSG00000042753,ENSMUSG00000008036,ENSMMUG00000000833,Daneman,lung_only,ortholog_one2one,ortholog_one2one,1,82.38993710691824,60.58091286307054,1.6935191461371701,9.999999,0.16935193154891015,9.999999,9.999999,1,BBB
AP3M1,ENSG00000185009,ENSMUSG00000021824,ENSMMUG00000020825,Daneman,liver_only,ortholog_one2one,ortholog_one2one,1,92.91964996022276,98.80668257756564,0.0024434990627982558,0.3067054114409369,0.007966925172002735,9.336023266021383e-4,0.03628638209155311,0.025728724463259894,BBB
APCDD1,ENSG00000154856,ENSMUSG00000071847,ENSMMUG00000056891,Both,lung_only,ortholog_one2one,ortholog_one2one,2,85.5663430420712,97.79935275080906,0.04998978350944494,0.604539088995503,0.08269073814979862,0.003547749056648687,0.07167739216689442,0.049496067719484955,BBB
APEX1,ENSG00000291796,NA,NA,Daneman,lung_only,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,BBB
APH1A,ENSG00000117362,ENSMUSG00000015750,ENSMMUG00000021386,Both,lung_only,ortholog_one2one,ortholog_one2one,1,94.73684210526316,83.51515151515152,0.0035352856641259027,0.21304850514526197,0.01659380647479997,0.1879336266369357,0.2581052766595918,0.7281277975761664,BBB
APLN,ENSG00000171388,ENSMUSG00000037010,NA,Daneman,lung_only,ortholog_one2one,NA,1,82.05128205128206,NA,0.10360697416674898,0.5708049968779498,0.18151027887533078,NA,NA,NA,BBB
APOD,ENSG00000189058,ENSMUSG00000022548,ENSMMUG00000063008,Both,lung_only,ortholog_one2one,ortholog_one2one,2,67.95665634674923,81.11455108359134,1.846373704036499,9.999999,0.18463738886738876,1.7934413330014274,9.999999,0.17934415123455785,BBB
APP,ENSG00000142192,ENSMUSG00000022892,ENSMMUG00000014384,Daneman,liver_only,ortholog_one2one,ortholog_one2one,2,89.40769563337656,95.76307825335063,0.017539553950368204,0.4702186626405319,0.03730084606143476,0.5263323589334025,0.829818979492036,0.6342737053996893,BBB
APRT,ENSG00000198931,ENSMUSG00000006589,NA,Daneman,lung_only,ortholog_one2one,NA,1,82.32044198895028,NA,0.09157741708954714,0.5724802279345758,0.15996607851409114,NA,NA,NA,BBB
AQP11,ENSG00000178301,ENSMUSG00000042797,ENSMMUG00000018944,Both,liver_only,ortholog_one2one,ortholog_one2one,1,85.41666666666667,97.42647058823529,0.10414228447198039,0.3383900347345492,0.3077581305066357,0.011633964319568252,0.06321947716410638,0.18402500054482537,BBB
ARF4,ENSG00000168374,ENSMUSG00000021877,ENSMMUG00000018617,Daneman,lung_only,ortholog_one2one,ortholog_one2many,1,92.63351749539595,98.15837937384899,0.018076342071971396,0.2686622454706182,0.06728277745280845,0,0.061838563492506625,0,BBB
ARF4,ENSG00000168374,ENSMUSG00000021877,ENSMMUG00000019688,Daneman,lung_only,ortholog_one2one,ortholog_one2many,1,92.63351749539595,83.24125230202579,0.018076342071971396,0.2686622454706182,0.06728277745280845,1.0952438095825134,2.4975360622736265,0.4385297278091995,BBB
ARFGAP3,ENSG00000242247,ENSMUSG00000054277,ENSMMUG00000002229,Daneman,liver_only,ortholog_one2one,ortholog_one2one,1,79.11111111111111,94.16195856873823,0.36267043734567145,1.2253902007892301,0.29596322633565075,0.023108199414637022,0.06645330283405652,0.3477359052016049,BBB
ARHGAP12,ENSG00000165322,ENSMUSG00000041225,ENSMMUG00000004778,Daneman,liver_only,ortholog_one2one,ortholog_one2one,1,88.78394332939787,93.25084364454443,1.9154545125487772,9.999999,0.19154547040942474,0.32725004174114186,0.5215417167329265,0.627466665161747,BBB
ARHGAP18,ENSG00000146376,ENSMUSG00000039031,ENSMMUG00000020365,Daneman,lung_only,ortholog_one2one,ortholog_one2one,1,84.30784607696152,97.38955823293173,0.31060945007756846,0.8088140766973333,0.38403071735088234,0.7643616293401949,1.1133236506314244,0.6865583327064734,BBB
ARHGAP26,ENSG00000145819,ENSMUSG00000036452,ENSMMUG00000000419,Daneman,liver_only,ortholog_one2one,ortholog_one2one,2,90.96114519427402,98.32516339869281,0.01482048938536953,0.3681533728211538,0.04025629120765713,0.013970739574579276,0.048449035006952676,0.2883595013311288,BBB
ARHGAP6,ENSG00000047648,ENSMUSG00000031355,ENSMMUG00000003896,Daneman,liver_only,ortholog_one2one,ortholog_one2one,2,84.49612403100775,96.86434901158827,1.8884909254169635,9.999999,0.18884911142660749,0.06876949955254114,0.1240894157284585,0.5541931126747148,BBB
ARHGEF15,ENSG00000198844,ENSMUSG00000052921,ENSMMUG00000008749,Daneman,liver_only,ortholog_one2one,ortholog_one2one,1,83.58793576184881,97.14964370546318,1.324174411937969,2.14734081318531,0.6166577768219861,0.013735037374870699,0.06135323054260517,0.22386820145245254,BBB
ARHGEF3,ENSG00000163947,ENSMUSG00000021895,ENSMMUG00000010163,Daneman,liver_only,ortholog_one2one,ortholog_one2one,2,86.94096601073345,98.15146094215862,1.8924796235767642,9.999999,0.18924798128247453,0.0033812695675903342,0.052080276201173226,0.06492418654865281,BBB
ARHGEF7,ENSG00000102606,ENSMUSG00000031511,ENSMMUG00000013138,Daneman,lung_only,ortholog_one2one,ortholog_one2one,1,78.71765160293549,98.26187717265353,0.0395274263640979,0.578654029037192,0.0683092562750606,0.0013693898382653856,0.06216172408191996,0.022029470039484945,BBB
ARHGEF9,ENSG00000131089,ENSMUSG00000025656,ENSMMUG00000016233,Munji,NA,ortholog_one2one,ortholog_one2one,1,81.24635993011066,91.08391608391608,1.9843364861216175,9.999999,0.1984336684555286,1.948228042249369,9.999999,0.19482282370721926,BBB
ARID4A,ENSG00000032219,ENSMUSG00000048118,ENSMMUG00000003514,Daneman,liver_only,ortholog_one2one,ortholog_one2one,1,84.57278481012658,98.51616322204558,0.6219162092692999,1.2368297675513542,0.5028308871483217,0.004708109416132965,0.03891293113978776,0.12099087059825749,BBB
ARID5B,ENSG00000150347,ENSMUSG00000019947,ENSMMUG00000000424,Daneman,liver_only,ortholog_one2one,ortholog_one2one,2,85.54621848739495,96.74123170394918,0.17508852333515915,0.6444613345210564,0.27168196749193574,2.196826143347579,9.999999,0.2196826363030215,BBB
ARL4A,ENSG00000122644,ENSMUSG00000047446,ENSMMUG00000010846,Munji,NA,ortholog_one2one,ortholog_one2one,2,92.53731343283582,98.50746268656717,0.0032049144925167194,0.32906634661107015,0.009739417371368788,0.0026246779430718725,0.05279451222566679,0.049714976659938695,BBB
ARMCX2,ENSG00000184867,ENSMUSG00000033436,ENSMMUG00000015656,Daneman,lung_only,ortholog_one2one,ortholog_one2one,1,66.28450106157112,97.89362822538178,1.0725770609260525,1.5080206249549817,0.7112482702005961,0.00905726064284251,0.05029780332040533,0.18007268796902046,BBB
ART3,ENSG00000156219,ENSMUSG00000034842,ENSMMUG00000020907,Daneman,liver_and_lung,ortholog_one2one,ortholog_one2one,1,67.61363636363636,89.99172870140612,0.6998379771710965,1.523598466357528,0.45933229300512596,0.2824582860883783,0.4844231042057974,0.5830817804436957,BBB
ASB13,ENSG00000196372,ENSMUSG00000033781,ENSMMUG00000001290,Daneman,liver_only,ortholog_one2one,ortholog_one2one,1,87.33572281959378,58.49602313810557,0.010004970626522792,0.6625337648790615,0.015101072816038431,9.999999,2.51562094726293,3.97516128607543,BBB
ASH1L,ENSG00000116539,ENSMUSG00000028053,ENSMMUG00000023146,Daneman,liver_only,ortholog_one2one,ortholog_one2one,1,88.6570178391114,98.40628507295175,2.5013925986157064,9.999999,0.25013928487549913,0.6982193421073826,1.0698752264035214,0.6526175435003833,BBB
ASPN,ENSG00000292224,NA,NA,Daneman,liver_and_lung,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,BBB
ATF2,ENSG00000115966,ENSMUSG00000027104,ENSMMUG00000003947,Daneman,liver_only,ortholog_one2one,ortholog_one2one,1,91.04084321475626,98.9459815546772,1.8902510333609839,9.999999,0.1890251222386106,0,0.038655456514120744,0,BBB
ATF4,ENSG00000128272,ENSMUSG00000042406,ENSMMUG00000055780,Daneman,liver_only,ortholog_one2one,ortholog_one2one,2,85.64683663833806,97.25378787878788,1.2060579830701215,2.154365222886158,0.559820577429481,0.009306436580834158,0.07808053091353626,0.11919023182795455,BBB
